"trace_id","activities","owner","employed","car_owner","income"
"0","activity_04","yes","no","no","low"
"0","activity_05","yes","no","no","low"
"0","activity_10","yes","no","no","low"
"0","activity_11","yes","no","no","low"
"0","activity_11","yes","no","no","low"
"1","activity_05","no","no","yes","high"
"1","activity_05","no","no","yes","high"
"1","activity_06","no","no","yes","high"
"1","activity_07","no","no","yes","high"
"2","activity_04","yes","no","no","middle"
"2","activity_05","yes","no","no","middle"
"2","activity_10","yes","no","no","middle"
"2","activity_11","yes","no","no","middle"
"2","activity_11","yes","no","no","middle"
"3","activity_08","yes","yes","no","low"
"3","activity_09","yes","yes","no","low"
"3","activity_08","yes","yes","no","low"
"3","activity_06","yes","yes","no","low"
"4","activity_02","no","yes","yes","middle"
"4","activity_01","no","yes","yes","middle"
"4","activity_03","no","yes","yes","middle"
"4","activity_04","no","yes","yes","middle"
"4","activity_01","no","yes","yes","middle"
"4","activity_03","no","yes","yes","middle"
"4","activity_03","no","yes","yes","middle"
"5","activity_08","yes","yes","no","low"
"5","activity_09","yes","yes","no","low"
"5","activity_08","yes","yes","no","low"
"5","activity_06","yes","yes","no","low"
"6","activity_02","no","yes","yes","middle"
"6","activity_01","no","yes","yes","middle"
"6","activity_03","no","yes","yes","middle"
"6","activity_04","no","yes","yes","middle"
"6","activity_01","no","yes","yes","middle"
"6","activity_03","no","yes","yes","middle"
"6","activity_03","no","yes","yes","middle"
"7","activity_02","no","yes","yes","middle"
"7","activity_01","no","yes","yes","middle"
"7","activity_03","no","yes","yes","middle"
"7","activity_04","no","yes","yes","middle"
"7","activity_01","no","yes","yes","middle"
"7","activity_03","no","yes","yes","middle"
"7","activity_03","no","yes","yes","middle"
"8","activity_08","yes","yes","no","low"
"8","activity_09","yes","yes","no","low"
"8","activity_08","yes","yes","no","low"
"8","activity_06","yes","yes","no","low"
"9","activity_05","no","no","yes","high"
"9","activity_05","no","no","yes","high"
"9","activity_06","no","no","yes","high"
"9","activity_07","no","no","yes","high"
