"trace_id","activities","owner","employed","car_owner","income"
"0","activity_02","no","yes","yes","middle"
"0","activity_01","no","yes","yes","middle"
"0","activity_03","no","yes","yes","middle"
"0","activity_04","no","yes","yes","middle"
"0","activity_01","no","yes","yes","middle"
"0","activity_03","no","yes","yes","middle"
"0","activity_03","no","yes","yes","middle"
"1","activity_06","no","no","yes","high"
"1","activity_07","no","no","yes","high"
"2","activity_02","no","yes","yes","middle"
"2","activity_01","no","yes","yes","middle"
"2","activity_03","no","yes","yes","middle"
"2","activity_04","no","yes","yes","middle"
"2","activity_01","no","yes","yes","middle"
"2","activity_03","no","yes","yes","middle"
"2","activity_03","no","yes","yes","middle"
"3","activity_02","yes","yes","no","high"
"3","activity_01","yes","yes","no","high"
"3","activity_03","yes","yes","no","high"
"3","activity_04","yes","yes","no","high"
"3","activity_01","yes","yes","no","high"
"3","activity_03","yes","yes","no","high"
"3","activity_03","yes","yes","no","high"
"4","activity_08","yes","yes","no","low"
"4","activity_06","yes","yes","no","low"
"4","activity_09","yes","yes","no","low"
"5","activity_08","yes","yes","no","low"
"5","activity_09","yes","yes","no","low"
"5","activity_08","yes","yes","no","low"
"5","activity_06","yes","yes","no","low"
"6","activity_08","yes","yes","no","low"
"6","activity_09","yes","yes","no","low"
"6","activity_08","yes","yes","no","low"
"6","activity_06","yes","yes","no","low"
"7","activity_04","yes","no","no","low"
"7","activity_05","yes","no","no","low"
"7","activity_10","yes","no","no","low"
"7","activity_11","yes","no","no","low"
"7","activity_11","yes","no","no","low"
"8","activity_04","yes","no","no","middle"
"8","activity_05","yes","no","no","middle"
"8","activity_10","yes","no","no","middle"
"8","activity_11","yes","no","no","middle"
"8","activity_11","yes","no","no","middle"
"9","activity_02","no","no","no","high"
"9","activity_01","no","no","no","high"
"9","activity_03","no","no","no","high"
"9","activity_01","no","no","no","high"
"9","activity_04","no","no","no","high"
"9","activity_03","no","no","no","high"
"9","noise_0","no","no","no","high"
"9","activity_03","no","no","no","high"
"10","activity_04","yes","no","no","low"
"10","activity_05","yes","no","no","low"
"10","activity_10","yes","no","no","low"
"10","activity_11","yes","no","no","low"
"10","activity_11","yes","no","no","low"
"11","activity_05","no","no","yes","high"
"11","activity_05","no","no","yes","high"
"11","activity_06","no","no","yes","high"
"11","activity_07","no","no","yes","high"
"12","activity_04","yes","no","no","low"
"12","activity_10","yes","no","no","low"
"12","activity_05","yes","no","no","low"
"12","noise_3","yes","no","no","low"
"12","activity_11","yes","no","no","low"
"12","activity_11","yes","no","no","low"
"13","activity_08","yes","yes","yes","middle"
"13","activity_09","yes","yes","yes","middle"
"13","activity_08","yes","yes","yes","middle"
"13","activity_06","yes","yes","yes","middle"
"14","activity_02","no","yes","yes","middle"
"14","activity_01","no","yes","yes","middle"
"14","activity_03","no","yes","yes","middle"
"14","activity_04","no","yes","yes","middle"
"14","activity_01","no","yes","yes","middle"
"14","activity_03","no","yes","yes","middle"
"14","activity_03","no","yes","yes","middle"
"15","activity_08","yes","yes","no","low"
"15","activity_09","yes","yes","no","low"
"15","activity_08","yes","yes","no","low"
"15","activity_06","yes","yes","no","low"
"16","activity_04","yes","no","no","middle"
"16","activity_05","yes","no","no","middle"
"16","activity_10","yes","no","no","middle"
"16","activity_11","yes","no","no","middle"
"16","activity_02","yes","no","no","middle"
"16","activity_11","yes","no","no","middle"
"17","noise_1","yes","no","no","low"
"17","activity_04","yes","no","no","low"
"17","activity_05","yes","no","no","low"
"17","activity_10","yes","no","no","low"
"17","activity_11","yes","no","no","low"
"17","noise_2","yes","no","no","low"
"17","activity_11","yes","no","no","low"
"18","activity_05","no","no","yes","high"
"18","activity_05","no","no","yes","high"
"18","activity_06","no","no","yes","high"
