"trace_id","activities","owner","employed","car_owner","income"
"0","activity_04","yes","no","no","middle"
"0","activity_05","yes","no","no","middle"
"0","activity_10","yes","no","no","middle"
"0","activity_11","yes","no","no","middle"
"0","activity_11","yes","no","no","middle"
"1","activity_04","yes","no","no","low"
"1","activity_05","yes","no","no","low"
"1","activity_10","yes","no","no","low"
"1","activity_11","yes","no","no","low"
"1","activity_11","yes","no","no","low"
"2","activity_07","no","no","yes","high"
"2","activity_06","no","no","yes","high"
"3","activity_10","yes","yes","no","low"
"3","activity_09","yes","yes","no","low"
"3","activity_08","yes","yes","no","low"
"4","activity_02","yes","no","no","middle"
"4","activity_01","yes","no","no","middle"
"4","activity_03","yes","no","no","middle"
"4","activity_04","yes","no","no","middle"
"4","activity_01","yes","no","no","middle"
"4","activity_03","yes","no","no","middle"
"4","activity_03","yes","no","no","middle"
"5","noise_2","no","yes","yes","middle"
"5","activity_05","no","yes","yes","middle"
"5","activity_10","no","yes","yes","middle"
"5","activity_05","no","yes","yes","middle"
"5","activity_07","no","yes","yes","middle"
"6","activity_07","yes","no","no","middle"
"6","activity_05","yes","no","no","middle"
"6","activity_10","yes","no","no","middle"
"6","activity_11","yes","no","no","middle"
"7","activity_05","no","no","yes","high"
"7","activity_05","no","no","yes","high"
"7","activity_06","no","no","yes","high"
"7","activity_07","no","no","yes","high"
"8","noise_3","no","no","yes","middle"
"8","activity_08","no","no","yes","middle"
"8","activity_08","no","no","yes","middle"
"8","activity_11","no","no","yes","middle"
"8","activity_06","no","no","yes","middle"
"9","activity_08","yes","yes","no","low"
"9","activity_09","yes","yes","no","low"
"9","activity_08","yes","yes","no","low"
"9","activity_06","yes","yes","no","low"
"10","activity_05","no","no","yes","high"
"10","activity_05","no","no","yes","high"
"10","activity_06","no","no","yes","high"
"10","activity_07","no","no","yes","high"
"11","activity_02","yes","no","yes","low"
"11","activity_01","yes","no","yes","low"
"11","activity_03","yes","no","yes","low"
"11","activity_04","yes","no","yes","low"
"11","activity_01","yes","no","yes","low"
"11","activity_03","yes","no","yes","low"
"11","activity_03","yes","no","yes","low"
"12","activity_04","no","no","no","high"
"12","activity_05","no","no","no","high"
"12","activity_10","no","no","no","high"
"12","activity_11","no","no","no","high"
"12","activity_11","no","no","no","high"
"13","activity_04","yes","no","no","middle"
"13","activity_05","yes","no","no","middle"
"13","activity_11","yes","no","no","middle"
"13","activity_08","yes","no","no","middle"
"13","activity_11","yes","no","no","middle"
"14","activity_03","no","yes","yes","low"
"14","activity_02","no","yes","yes","low"
"14","activity_01","no","yes","yes","low"
"14","activity_04","no","yes","yes","low"
"14","activity_01","no","yes","yes","low"
"14","activity_11","no","yes","yes","low"
"14","activity_01","no","yes","yes","low"
"14","activity_03","no","yes","yes","low"
"15","activity_08","no","no","no","high"
"15","activity_09","no","no","no","high"
"15","activity_08","no","no","no","high"
"15","activity_06","no","no","no","high"
"16","activity_02","no","yes","yes","middle"
"16","activity_01","no","yes","yes","middle"
"16","activity_03","no","yes","yes","middle"
"16","activity_04","no","yes","yes","middle"
"16","activity_01","no","yes","yes","middle"
"16","activity_03","no","yes","yes","middle"
"16","activity_03","no","yes","yes","middle"
"17","activity_02","no","yes","yes","low"
"17","activity_01","no","yes","yes","low"
"17","activity_03","no","yes","yes","low"
"17","activity_04","no","yes","yes","low"
"17","activity_01","no","yes","yes","low"
"17","activity_03","no","yes","yes","low"
"17","activity_03","no","yes","yes","low"
"18","activity_04","yes","no","no","middle"
"18","activity_11","yes","no","no","middle"
"18","activity_10","yes","no","no","middle"
"19","activity_02","no","yes","yes","high"
"19","activity_01","no","yes","yes","high"
"19","activity_03","no","yes","yes","high"
"19","activity_04","no","yes","yes","high"
"19","activity_01","no","yes","yes","high"
"19","activity_03","no","yes","yes","high"
"19","activity_03","no","yes","yes","high"
"20","activity_08","no","yes","yes","middle"
"20","activity_09","no","yes","yes","middle"
"20","activity_08","no","yes","yes","middle"
"20","activity_06","no","yes","yes","middle"
"21","activity_08","yes","yes","no","low"
"21","activity_09","yes","yes","no","low"
"21","activity_06","yes","yes","no","low"
"22","activity_11","yes","yes","no","low"
"22","noise_2","yes","yes","no","low"
"22","activity_05","yes","yes","no","low"
"22","activity_10","yes","yes","no","low"
"22","activity_11","yes","yes","no","low"
"22","activity_10","yes","yes","no","low"
"23","activity_02","no","yes","yes","middle"
"23","activity_01","no","yes","yes","middle"
"23","activity_03","no","yes","yes","middle"
"23","activity_03","no","yes","yes","middle"
"23","activity_07","no","yes","yes","middle"
"23","activity_01","no","yes","yes","middle"
"23","activity_03","no","yes","yes","middle"
"23","activity_04","no","yes","yes","middle"
"24","activity_04","yes","no","no","high"
"24","activity_05","yes","no","no","high"
"24","activity_10","yes","no","no","high"
"24","activity_11","yes","no","no","high"
"24","activity_11","yes","no","no","high"
"25","activity_05","no","no","yes","high"
"25","activity_07","no","no","yes","high"
"25","activity_05","no","no","yes","high"
"25","activity_06","no","no","yes","high"
"26","noise_2","yes","no","no","high"
"26","noise_4","yes","no","no","high"
"26","activity_04","yes","no","no","high"
"26","activity_10","yes","no","no","high"
"26","activity_11","yes","no","no","high"
"26","activity_05","yes","no","no","high"
"27","activity_05","no","no","yes","high"
"27","activity_05","no","no","yes","high"
"27","activity_06","no","no","yes","high"
"27","activity_07","no","no","yes","high"
"28","activity_02","no","yes","yes","low"
"28","activity_01","no","yes","yes","low"
"28","activity_03","no","yes","yes","low"
"28","activity_04","no","yes","yes","low"
"28","activity_01","no","yes","yes","low"
"28","activity_03","no","yes","yes","low"
"28","activity_03","no","yes","yes","low"
"29","activity_08","yes","yes","no","low"
"29","activity_09","yes","yes","no","low"
"29","activity_08","yes","yes","no","low"
"29","activity_06","yes","yes","no","low"
"30","activity_02","no","yes","yes","middle"
"30","activity_01","no","yes","yes","middle"
"30","activity_03","no","yes","yes","middle"
"30","activity_04","no","yes","yes","middle"
"30","activity_01","no","yes","yes","middle"
"30","activity_03","no","yes","yes","middle"
"30","activity_03","no","yes","yes","middle"
"31","activity_05","no","no","yes","high"
"31","activity_05","no","no","yes","high"
"31","activity_06","no","no","yes","high"
"31","activity_07","no","no","yes","high"
"32","activity_08","yes","yes","no","low"
"32","activity_09","yes","yes","no","low"
"32","activity_08","yes","yes","no","low"
"32","activity_06","yes","yes","no","low"
"33","activity_08","yes","yes","no","low"
"33","activity_09","yes","yes","no","low"
"33","activity_08","yes","yes","no","low"
"33","activity_06","yes","yes","no","low"
"34","activity_06","no","yes","no","middle"
"34","activity_05","no","yes","no","middle"
"34","noise_2","no","yes","no","middle"
"34","activity_05","no","yes","no","middle"
"35","activity_04","yes","no","no","middle"
"35","activity_05","yes","no","no","middle"
"35","activity_10","yes","no","no","middle"
"35","activity_11","yes","no","no","middle"
"35","activity_11","yes","no","no","middle"
"36","activity_04","yes","yes","yes","high"
"36","activity_05","yes","yes","yes","high"
"36","activity_10","yes","yes","yes","high"
"36","activity_11","yes","yes","yes","high"
"36","activity_11","yes","yes","yes","high"
"37","activity_05","no","no","yes","high"
"37","activity_05","no","no","yes","high"
"37","activity_06","no","no","yes","high"
"37","activity_07","no","no","yes","high"
"38","activity_06","no","no","yes","high"
"38","activity_08","no","no","yes","high"
"38","noise_2","no","no","yes","high"
"39","activity_04","no","no","no","high"
"39","activity_05","no","no","no","high"
"39","activity_10","no","no","no","high"
"39","activity_11","no","no","no","high"
"39","activity_11","no","no","no","high"
"40","activity_04","yes","no","no","middle"
"40","activity_05","yes","no","no","middle"
"40","activity_10","yes","no","no","middle"
"40","activity_11","yes","no","no","middle"
"40","activity_11","yes","no","no","middle"
"41","activity_05","no","no","yes","high"
"41","activity_05","no","no","yes","high"
"41","activity_06","no","no","yes","high"
"41","activity_07","no","no","yes","high"
"42","activity_11","yes","no","no","middle"
"42","activity_04","yes","no","no","middle"
"42","activity_05","yes","no","no","middle"
"42","activity_10","yes","no","no","middle"
"43","activity_02","no","yes","yes","middle"
"43","activity_01","no","yes","yes","middle"
"43","activity_04","no","yes","yes","middle"
"43","activity_01","no","yes","yes","middle"
"43","activity_03","no","yes","yes","middle"
"43","activity_03","no","yes","yes","middle"
"44","activity_02","no","yes","yes","middle"
"44","activity_01","no","yes","yes","middle"
"44","activity_03","no","yes","yes","middle"
"44","activity_04","no","yes","yes","middle"
"44","activity_01","no","yes","yes","middle"
"44","activity_03","no","yes","yes","middle"
"44","activity_03","no","yes","yes","middle"
"45","activity_04","yes","no","no","middle"
"45","activity_05","yes","no","no","middle"
"45","activity_10","yes","no","no","middle"
"45","activity_11","yes","no","no","middle"
"46","activity_04","yes","no","no","middle"
"46","activity_05","yes","no","no","middle"
"46","activity_10","yes","no","no","middle"
"46","activity_11","yes","no","no","middle"
"46","activity_11","yes","no","no","middle"
"47","activity_04","yes","no","no","low"
"47","activity_05","yes","no","no","low"
"47","activity_10","yes","no","no","low"
"47","activity_11","yes","no","no","low"
"47","activity_11","yes","no","no","low"
"48","activity_08","yes","no","no","high"
"48","activity_09","yes","no","no","high"
"48","activity_08","yes","no","no","high"
"48","activity_06","yes","no","no","high"
"49","activity_08","yes","yes","yes","high"
"49","activity_09","yes","yes","yes","high"
"49","activity_08","yes","yes","yes","high"
"49","activity_06","yes","yes","yes","high"
"50","activity_02","no","yes","yes","middle"
"50","activity_01","no","yes","yes","middle"
"50","activity_01","no","yes","yes","middle"
"50","activity_03","no","yes","yes","middle"
"50","noise_2","no","yes","yes","middle"
"50","activity_04","no","yes","yes","middle"
"50","noise_2","no","yes","yes","middle"
"50","activity_01","no","yes","yes","middle"
"50","activity_03","no","yes","yes","middle"
"51","activity_04","yes","no","no","low"
"51","activity_11","yes","no","no","low"
"51","activity_05","yes","no","no","low"
"51","activity_11","yes","no","no","low"
"51","noise_3","yes","no","no","low"
"51","activity_10","yes","no","no","low"
"52","activity_06","yes","yes","yes","high"
"52","activity_05","yes","yes","yes","high"
"52","activity_05","yes","yes","yes","high"
"52","activity_07","yes","yes","yes","high"
"53","activity_03","no","yes","yes","middle"
"53","activity_01","no","yes","yes","middle"
"53","activity_04","no","yes","yes","middle"
"53","activity_01","no","yes","yes","middle"
"53","activity_03","no","yes","yes","middle"
"53","noise_1","no","yes","yes","middle"
"53","activity_03","no","yes","yes","middle"
"53","activity_02","no","yes","yes","middle"
"54","activity_03","yes","yes","no","low"
"54","activity_09","yes","yes","no","low"
"54","activity_06","yes","yes","no","low"
"54","activity_03","yes","yes","no","low"
"54","activity_08","yes","yes","no","low"
"55","activity_05","yes","no","no","low"
