"trace_id","activities","owner","employed","age","income"
"0","activity_09","yes","yes","20-39yo","high"
"0","activity_04","yes","yes","20-39yo","high"
"0","activity_02","yes","yes","20-39yo","high"
"1","activity_09","no","yes","60-79yo","high"
"1","activity_04","no","yes","60-79yo","high"
"1","activity_02","no","yes","60-79yo","high"
"2","activity_10","no","yes","60-79yo","middle"
"2","activity_06","no","yes","60-79yo","middle"
"2","activity_02","no","yes","60-79yo","middle"
"2","activity_03","no","yes","60-79yo","middle"
"2","activity_07","no","yes","60-79yo","middle"
"3","activity_09","no","no","20-39yo","high"
"3","activity_04","no","no","20-39yo","high"
"3","activity_02","no","no","20-39yo","high"
"4","activity_10","yes","no","60-79yo","middle"
"4","activity_07","yes","no","60-79yo","middle"
"4","activity_08","yes","no","60-79yo","middle"
"4","activity_09","yes","no","60-79yo","middle"
"5","activity_06","yes","no","80yo+","middle"
"5","activity_01","yes","no","80yo+","middle"
"5","activity_04","yes","no","80yo+","middle"
"5","activity_07","yes","no","80yo+","middle"
"5","noise_3","yes","no","80yo+","middle"
"5","activity_05","yes","no","80yo+","middle"
"5","activity_05","yes","no","80yo+","middle"
"5","activity_03","yes","no","80yo+","middle"
"6","activity_09","no","yes","60-79yo","middle"
"6","activity_10","no","yes","60-79yo","middle"
"7","activity_10","no","yes","80yo+","middle"
"7","activity_06","no","yes","80yo+","middle"
"7","activity_02","no","yes","80yo+","middle"
"7","activity_03","no","yes","80yo+","middle"
"7","activity_07","no","yes","80yo+","middle"
"8","activity_01","no","no","20-39yo","low"
"8","activity_04","no","no","20-39yo","low"
"8","activity_07","no","no","20-39yo","low"
"8","activity_06","no","no","20-39yo","low"
"8","activity_05","no","no","20-39yo","low"
"8","activity_05","no","no","20-39yo","low"
"8","activity_02","no","no","20-39yo","low"
"8","activity_03","no","no","20-39yo","low"
"9","noise_4","no","yes","20-39yo","high"
"9","activity_01","no","yes","20-39yo","high"
"9","activity_04","no","yes","20-39yo","high"
"9","activity_07","no","yes","20-39yo","high"
"9","activity_06","no","yes","20-39yo","high"
"9","activity_05","no","yes","20-39yo","high"
"9","activity_05","no","yes","20-39yo","high"
"9","activity_02","no","yes","20-39yo","high"
"9","activity_03","no","yes","20-39yo","high"
"10","activity_10","no","no","0-19yo","low"
"10","activity_07","no","no","0-19yo","low"
"10","activity_08","no","no","0-19yo","low"
"10","activity_09","no","no","0-19yo","low"
"11","activity_10","no","no","20-39yo","high"
"11","activity_02","no","no","20-39yo","high"
"11","activity_03","no","no","20-39yo","high"
"11","activity_07","no","no","20-39yo","high"
"11","activity_06","no","no","20-39yo","high"
"12","activity_03","yes","no","60-79yo","high"
"12","activity_01","yes","no","60-79yo","high"
"12","activity_04","yes","no","60-79yo","high"
"12","activity_01","yes","no","60-79yo","high"
"12","activity_05","yes","no","60-79yo","high"
"13","activity_10","no","yes","60-79yo","high"
"13","activity_07","no","yes","60-79yo","high"
"13","activity_08","no","yes","60-79yo","high"
"13","activity_09","no","yes","60-79yo","high"
"14","activity_10","yes","yes","0-19yo","low"
"14","activity_06","yes","yes","0-19yo","low"
"14","activity_02","yes","yes","0-19yo","low"
"14","activity_03","yes","yes","0-19yo","low"
"14","activity_07","yes","yes","0-19yo","low"
"15","activity_03","yes","yes","0-19yo","high"
"15","activity_01","yes","yes","0-19yo","high"
"15","activity_04","yes","yes","0-19yo","high"
"15","activity_01","yes","yes","0-19yo","high"
"15","activity_05","yes","yes","0-19yo","high"
"16","activity_09","no","no","0-19yo","high"
"16","activity_04","no","no","0-19yo","high"
"16","activity_02","no","no","0-19yo","high"
"17","activity_10","no","no","0-19yo","middle"
"17","activity_07","no","no","0-19yo","middle"
"17","activity_08","no","no","0-19yo","middle"
"17","activity_09","no","no","0-19yo","middle"
"18","activity_01","no","yes","60-79yo","high"
"18","activity_04","no","yes","60-79yo","high"
"18","activity_07","no","yes","60-79yo","high"
"18","activity_06","no","yes","60-79yo","high"
"18","activity_05","no","yes","60-79yo","high"
"18","activity_05","no","yes","60-79yo","high"
"18","activity_02","no","yes","60-79yo","high"
"18","activity_03","no","yes","60-79yo","high"
"19","activity_01","yes","no","0-19yo","middle"
