"trace_id","activities","owner","employed","age","income"
"0","activity_02","no","no","40-59yo","low"
"0","activity_06","no","no","40-59yo","low"
"0","activity_03","no","no","40-59yo","low"
"1","activity_10","no","no","0-19yo","middle"
"1","activity_03","no","no","0-19yo","middle"
"1","activity_06","no","no","0-19yo","middle"
"1","noise_2","no","no","0-19yo","middle"
"1","activity_07","no","no","0-19yo","middle"
"2","activity_02","no","yes","20-39yo","high"
"2","activity_09","no","yes","20-39yo","high"
"2","activity_04","no","yes","20-39yo","high"
"3","activity_07","yes","yes","40-59yo","high"
"3","activity_10","yes","yes","40-59yo","high"
"3","activity_06","yes","yes","40-59yo","high"
"3","activity_02","yes","yes","40-59yo","high"
"4","activity_09","yes","no","0-19yo","high"
"4","activity_04","yes","no","0-19yo","high"
"4","activity_02","yes","no","0-19yo","high"
"5","activity_03","no","yes","20-39yo","high"
"5","activity_01","no","yes","20-39yo","high"
"5","activity_04","no","yes","20-39yo","high"
"5","activity_01","no","yes","20-39yo","high"
"5","activity_05","no","yes","20-39yo","high"
"6","activity_02","no","yes","40-59yo","high"
"6","activity_04","no","yes","40-59yo","high"
"6","activity_09","no","yes","40-59yo","high"
"7","activity_10","no","yes","20-39yo","low"
"7","activity_03","no","yes","20-39yo","low"
"7","noise_2","no","yes","20-39yo","low"
"8","activity_04","yes","no","20-39yo","middle"
"8","activity_09","yes","no","20-39yo","middle"
"8","activity_05","yes","no","20-39yo","middle"
"8","activity_02","yes","no","20-39yo","middle"
"9","activity_02","yes","no","60-79yo","low"
"9","activity_09","yes","no","60-79yo","low"
"10","activity_07","yes","no","40-59yo","high"
"10","activity_01","yes","no","40-59yo","high"
"10","activity_07","yes","no","40-59yo","high"
"10","activity_06","yes","no","40-59yo","high"
"10","activity_05","yes","no","40-59yo","high"
"10","activity_02","yes","no","40-59yo","high"
"10","activity_05","yes","no","40-59yo","high"
"11","activity_03","yes","yes","40-59yo","middle"
"11","activity_01","yes","yes","40-59yo","middle"
"11","activity_04","yes","yes","40-59yo","middle"
"11","activity_01","yes","yes","40-59yo","middle"
"11","activity_05","yes","yes","40-59yo","middle"
"12","activity_02","no","yes","80yo+","middle"
"13","activity_02","yes","no","80yo+","low"
"13","activity_06","yes","no","80yo+","low"
"13","activity_10","yes","no","80yo+","low"
"13","activity_07","yes","no","80yo+","low"
"13","activity_03","yes","no","80yo+","low"
"14","noise_4","no","yes","20-39yo","middle"
"14","activity_02","no","yes","20-39yo","middle"
"14","activity_09","no","yes","20-39yo","middle"
"14","activity_04","no","yes","20-39yo","middle"
"14","activity_05","no","yes","20-39yo","middle"
"15","activity_08","yes","yes","40-59yo","low"
"15","activity_09","yes","yes","40-59yo","low"
"15","activity_02","yes","yes","40-59yo","low"
"16","activity_09","no","yes","40-59yo","middle"
"16","activity_02","no","yes","40-59yo","middle"
"17","activity_10","yes","no","60-79yo","high"
"17","activity_01","yes","no","60-79yo","high"
"17","activity_09","yes","no","60-79yo","high"
"17","activity_07","yes","no","60-79yo","high"
"18","activity_10","no","no","20-39yo","high"
"18","activity_07","no","no","20-39yo","high"
"18","activity_08","no","no","20-39yo","high"
"18","activity_09","no","no","20-39yo","high"
"19","activity_09","no","no","0-19yo","middle"
"19","activity_04","no","no","0-19yo","middle"
"19","activity_02","no","no","0-19yo","middle"
"20","activity_07","no","no","20-39yo","middle"
"20","activity_10","no","no","20-39yo","middle"
"20","activity_06","no","no","20-39yo","middle"
"20","activity_02","no","no","20-39yo","middle"
"20","activity_03","no","no","20-39yo","middle"
"21","activity_01","no","no","0-19yo","middle"
"21","activity_04","no","no","0-19yo","middle"
"21","activity_06","no","no","0-19yo","middle"
"21","activity_07","no","no","0-19yo","middle"
"21","activity_09","no","no","0-19yo","middle"
"21","activity_03","no","no","0-19yo","middle"
"21","activity_05","no","no","0-19yo","middle"
"21","activity_05","no","no","0-19yo","middle"
"21","activity_02","no","no","0-19yo","middle"
"22","activity_09","yes","yes","20-39yo","high"
"22","activity_04","yes","yes","20-39yo","high"
"22","activity_02","yes","yes","20-39yo","high"
"23","activity_03","no","no","20-39yo","low"
"23","activity_04","no","no","20-39yo","low"
"23","activity_02","no","no","20-39yo","low"
"24","activity_08","no","no","60-79yo","middle"
"24","activity_10","no","no","60-79yo","middle"
"24","activity_07","no","no","60-79yo","middle"
"25","activity_04","yes","no","80yo+","low"
"25","activity_09","yes","no","80yo+","low"
"25","activity_02","yes","no","80yo+","low"
"25","noise_2","yes","no","80yo+","low"
"25","noise_0","yes","no","80yo+","low"
"26","activity_09","yes","yes","40-59yo","high"
"26","activity_04","yes","yes","40-59yo","high"
"26","noise_0","yes","yes","40-59yo","high"
"26","activity_02","yes","yes","40-59yo","high"
"27","noise_0","yes","no","60-79yo","low"
"27","activity_06","yes","no","60-79yo","low"
"27","activity_02","yes","no","60-79yo","low"
"27","activity_03","yes","no","60-79yo","low"
"27","activity_07","yes","no","60-79yo","low"
"27","activity_10","yes","no","60-79yo","low"
"28","activity_10","yes","no","0-19yo","low"
"28","activity_06","yes","no","0-19yo","low"
"28","activity_02","yes","no","0-19yo","low"
"28","activity_03","yes","no","0-19yo","low"
"28","activity_07","yes","no","0-19yo","low"
"29","activity_03","yes","no","40-59yo","high"
"29","activity_01","yes","no","40-59yo","high"
"29","activity_10","yes","no","40-59yo","high"
"29","activity_09","yes","no","40-59yo","high"
"29","activity_01","yes","no","40-59yo","high"
"29","activity_05","yes","no","40-59yo","high"
"30","activity_01","yes","yes","40-59yo","high"
"30","activity_09","yes","yes","40-59yo","high"
"30","activity_04","yes","yes","40-59yo","high"
"30","activity_05","yes","yes","40-59yo","high"
"31","activity_10","yes","yes","0-19yo","high"
"31","activity_05","yes","yes","0-19yo","high"
"31","activity_06","yes","yes","0-19yo","high"
"31","activity_02","yes","yes","0-19yo","high"
"31","activity_03","yes","yes","0-19yo","high"
"31","activity_07","yes","yes","0-19yo","high"
"32","activity_04","no","yes","80yo+","low"
"32","noise_1","no","yes","80yo+","low"
"33","activity_02","no","yes","80yo+","middle"
"34","activity_04","no","yes","80yo+","low"
"34","noise_4","no","yes","80yo+","low"
"34","activity_02","no","yes","80yo+","low"
"35","activity_09","yes","no","40-59yo","middle"
"35","noise_3","yes","no","40-59yo","middle"
"35","activity_04","yes","no","40-59yo","middle"
"36","activity_01","yes","no","40-59yo","high"
"36","activity_04","yes","no","40-59yo","high"
"36","activity_07","yes","no","40-59yo","high"
"36","activity_06","yes","no","40-59yo","high"
"36","activity_05","yes","no","40-59yo","high"
"36","activity_05","yes","no","40-59yo","high"
"36","activity_02","yes","no","40-59yo","high"
"36","activity_03","yes","no","40-59yo","high"
"37","noise_2","yes","yes","0-19yo","low"
"37","activity_10","yes","yes","0-19yo","low"
"37","activity_08","yes","yes","0-19yo","low"
"37","noise_0","yes","yes","0-19yo","low"
"38","activity_08","yes","no","20-39yo","middle"
"38","noise_0","yes","no","20-39yo","middle"
"38","activity_01","yes","no","20-39yo","middle"
"38","activity_04","yes","no","20-39yo","middle"
"38","activity_01","yes","no","20-39yo","middle"
"39","activity_10","yes","yes","40-59yo","middle"
"39","noise_4","yes","yes","40-59yo","middle"
"39","activity_06","yes","yes","40-59yo","middle"
"39","noise_0","yes","yes","40-59yo","middle"
"39","activity_02","yes","yes","40-59yo","middle"
"39","activity_07","yes","yes","40-59yo","middle"
"39","activity_03","yes","yes","40-59yo","middle"
"40","activity_10","yes","yes","20-39yo","middle"
"40","activity_06","yes","yes","20-39yo","middle"
"40","activity_02","yes","yes","20-39yo","middle"
"40","activity_03","yes","yes","20-39yo","middle"
"40","activity_07","yes","yes","20-39yo","middle"
"41","activity_02","yes","no","40-59yo","low"
"41","activity_07","yes","no","40-59yo","low"
"41","activity_04","yes","no","40-59yo","low"
"42","activity_10","no","yes","0-19yo","high"
"42","activity_06","no","yes","0-19yo","high"
"42","activity_02","no","yes","0-19yo","high"
"42","activity_03","no","yes","0-19yo","high"
"42","activity_07","no","yes","0-19yo","high"
"43","activity_03","no","no","40-59yo","middle"
"43","activity_01","no","no","40-59yo","middle"
"43","activity_01","no","no","40-59yo","middle"
"43","activity_05","no","no","40-59yo","middle"
"44","activity_09","no","yes","40-59yo","high"
"44","activity_04","no","yes","40-59yo","high"
"44","activity_02","no","yes","40-59yo","high"
"45","activity_10","no","yes","60-79yo","high"
"45","activity_06","no","yes","60-79yo","high"
"45","activity_02","no","yes","60-79yo","high"
"45","activity_03","no","yes","60-79yo","high"
"45","activity_07","no","yes","60-79yo","high"
"46","activity_07","yes","yes","80yo+","high"
"46","activity_06","yes","yes","80yo+","high"
"46","activity_01","yes","yes","80yo+","high"
"46","activity_05","yes","yes","80yo+","high"
"46","activity_05","yes","yes","80yo+","high"
"46","activity_03","yes","yes","80yo+","high"
"47","activity_02","yes","yes","60-79yo","high"
"47","noise_0","yes","yes","60-79yo","high"
"47","activity_09","yes","yes","60-79yo","high"
"48","activity_04","no","no","40-59yo","middle"
"48","activity_03","no","no","40-59yo","middle"
"48","activity_01","no","no","40-59yo","middle"
"48","activity_01","no","no","40-59yo","middle"
"48","activity_05","no","no","40-59yo","middle"
"48","activity_05","no","no","40-59yo","middle"
"49","noise_3","yes","no","20-39yo","low"
"49","noise_2","yes","no","20-39yo","low"
"49","activity_09","yes","no","20-39yo","low"
"49","activity_02","yes","no","20-39yo","low"
"50","activity_09","no","no","0-19yo","low"
"50","activity_04","no","no","0-19yo","low"
"50","activity_02","no","no","0-19yo","low"
"51","activity_09","no","no","40-59yo","low"
"51","activity_04","no","no","40-59yo","low"
"52","activity_02","no","yes","0-19yo","low"
"52","activity_06","no","yes","0-19yo","low"
"52","activity_03","no","yes","0-19yo","low"
"52","activity_07","no","yes","0-19yo","low"
"53","activity_10","yes","yes","60-79yo","low"
"53","activity_07","yes","yes","60-79yo","low"
"53","activity_08","yes","yes","60-79yo","low"
"54","activity_01","yes","no","80yo+","low"
"54","activity_07","yes","no","80yo+","low"
"54","activity_06","yes","no","80yo+","low"
"54","activity_05","yes","no","80yo+","low"
"54","activity_02","yes","no","80yo+","low"
"54","activity_03","yes","no","80yo+","low"
"55","activity_10","yes","yes","20-39yo","middle"
"55","activity_07","yes","yes","20-39yo","middle"
"55","activity_08","yes","yes","20-39yo","middle"
"55","activity_09","yes","yes","20-39yo","middle"
"56","activity_07","yes","no","40-59yo","high"
"56","activity_04","yes","no","40-59yo","high"
"57","activity_10","no","no","60-79yo","middle"
"57","activity_07","no","no","60-79yo","middle"
"57","activity_09","no","no","60-79yo","middle"
"57","noise_4","no","no","60-79yo","middle"
"57","activity_08","no","no","60-79yo","middle"
"58","activity_03","yes","no","60-79yo","low"
"58","activity_02","yes","no","60-79yo","low"
"58","activity_04","yes","no","60-79yo","low"
"59","activity_09","no","no","80yo+","middle"
"59","activity_10","no","no","80yo+","middle"
