"trace_id","activities","owner","age","car_owner","income"
"0","activity_03","yes","40-59yo","yes","high"
"0","activity_10","yes","40-59yo","yes","high"
"0","activity_06","yes","40-59yo","yes","high"
"0","activity_11","yes","40-59yo","yes","high"
"1","activity_09","yes","80yo+","yes","low"
"1","activity_01","yes","80yo+","yes","low"
"1","activity_04","yes","80yo+","yes","low"
"1","activity_04","yes","80yo+","yes","low"
"2","activity_09","no","0-19yo","yes","middle"
"2","activity_04","no","0-19yo","yes","middle"
"2","activity_11","no","0-19yo","yes","middle"
"2","activity_04","no","0-19yo","yes","middle"
"3","activity_04","yes","80yo+","no","low"
"3","activity_09","yes","80yo+","no","low"
"3","activity_04","yes","80yo+","no","low"
"4","activity_03","no","20-39yo","yes","high"
"4","activity_02","no","20-39yo","yes","high"
"4","activity_01","no","20-39yo","yes","high"
"4","activity_04","no","20-39yo","yes","high"
"5","activity_09","no","40-59yo","no","high"
"5","activity_01","no","40-59yo","no","high"
"5","activity_04","no","40-59yo","no","high"
"5","activity_04","no","40-59yo","no","high"
"6","activity_09","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"6","noise_2","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"6","activity_01","yes","80yo+","no","low"
"7","activity_04","yes","0-19yo","yes","low"
"7","activity_01","yes","0-19yo","yes","low"
"7","activity_04","yes","0-19yo","yes","low"
"8","activity_04","no","60-79yo","no","middle"
"8","activity_01","no","60-79yo","no","middle"
"8","activity_03","no","60-79yo","no","middle"
"8","activity_08","no","60-79yo","no","middle"
"8","activity_07","no","60-79yo","no","middle"
"8","activity_06","no","60-79yo","no","middle"
"9","activity_04","no","80yo+","no","low"
"9","activity_01","no","80yo+","no","low"
"9","activity_09","no","80yo+","no","low"
"9","activity_04","no","80yo+","no","low"
