"trace_id","activities","employed","age","income","g"
"0","activity_05","yes","40-59yo","low","activity_05__+__activity_02__+__activity_04__+__activity_01"
"0","activity_04","yes","40-59yo","low","activity_05__+__activity_02__+__activity_04__+__activity_01"
"0","activity_01","yes","40-59yo","low","activity_05__+__activity_02__+__activity_04__+__activity_01"
"1","activity_03","no","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_03","no","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_01","no","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_05","no","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_03","yes","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_01","yes","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_03","yes","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_05","yes","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_05","no","0-19yo","low","activity_05__+__activity_02__+__activity_04__+__activity_01"
"3","activity_02","no","0-19yo","low","activity_05__+__activity_02__+__activity_04__+__activity_01"
"3","activity_04","no","0-19yo","low","activity_05__+__activity_02__+__activity_04__+__activity_01"
"3","activity_01","no","0-19yo","low","activity_05__+__activity_02__+__activity_04__+__activity_01"
"4","activity_04","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"4","activity_01","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"4","activity_02","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"4","activity_03","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"4","activity_04","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"5","activity_03","no","20-39yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_03","no","20-39yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_05","no","20-39yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_01","no","20-39yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"6","activity_01","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_02","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_03","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_07","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"7","activity_03","no","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"7","activity_07","no","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"7","activity_03","no","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"7","activity_05","no","80yo+","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"8","activity_04","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_05","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_02","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_01","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_07","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"9","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_02","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","noise_2","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
