"trace_id","activities","employed","age","income","g"
"0","activity_05","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"0","activity_02","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"0","activity_04","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"0","activity_01","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"1","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_01","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"2","activity_02","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"2","activity_03","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"2","activity_07","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"3","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"4","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"4","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"4","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"4","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_05","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"5","activity_02","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"5","activity_04","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"5","activity_01","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"6","activity_04","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"6","activity_01","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"6","activity_02","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"6","activity_03","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"6","activity_04","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"7","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"7","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"7","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"7","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"8","activity_05","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_02","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_04","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_01","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"9","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
