"trace_id","activities","owner","employed","age"
"0","activity_07","yes","yes","40-59yo"
"0","activity_05","yes","yes","40-59yo"
"1","activity_02","yes","no","0-19yo"
"1","activity_07","yes","no","0-19yo"
"1","activity_06","yes","no","0-19yo"
"2","activity_01","yes","no","80yo+"
"2","activity_02","yes","no","80yo+"
"2","activity_09","yes","no","80yo+"
"2","activity_05","yes","no","80yo+"
"3","activity_10","yes","no","80yo+"
"3","activity_06","yes","no","80yo+"
"3","activity_07","yes","no","80yo+"
"3","activity_02","yes","no","80yo+"
"4","activity_06","no","yes","0-19yo"
"4","activity_07","no","yes","0-19yo"
"4","activity_08","no","yes","0-19yo"
"4","activity_01","no","yes","0-19yo"
"4","activity_03","no","yes","0-19yo"
"5","activity_05","yes","yes","0-19yo"
"5","activity_06","yes","yes","0-19yo"
"5","activity_07","yes","yes","0-19yo"
"5","activity_08","yes","yes","0-19yo"
"5","activity_01","yes","yes","0-19yo"
"5","activity_03","yes","yes","0-19yo"
"6","activity_10","no","no","80yo+"
"6","activity_09","no","no","80yo+"
"6","activity_02","no","no","80yo+"
"6","activity_04","no","no","80yo+"
"7","activity_02","yes","yes","0-19yo"
"7","activity_06","yes","yes","0-19yo"
"8","activity_02","yes","yes","0-19yo"
"8","activity_07","yes","yes","0-19yo"
"8","activity_06","yes","yes","0-19yo"
"9","activity_07","no","yes","20-39yo"
"9","activity_06","no","yes","20-39yo"
