"trace_id","activities","owner","age","car_owner","income","g"
"0","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_04","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"1","activity_01","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"1","activity_03","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"1","activity_08","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"1","activity_07","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"1","activity_06","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"2","activity_10","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"2","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"2","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"2","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"2","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_07","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_09","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_04","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"5","activity_03","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","activity_02","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","activity_01","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","activity_04","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"6","activity_04","yes","0-19yo","yes","low","activity_04__+__activity_01__+__activity_04"
"6","activity_01","yes","0-19yo","yes","low","activity_04__+__activity_01__+__activity_04"
"6","activity_04","yes","0-19yo","yes","low","activity_04__+__activity_01__+__activity_04"
"7","activity_04","no","20-39yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_01","no","20-39yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_03","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"8","activity_10","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"8","activity_06","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"8","activity_11","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"9","activity_09","no","80yo+","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_01","no","80yo+","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_04","no","80yo+","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_04","no","80yo+","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
