"trace_id","activities","employed","age","income"
"0","noise_0","yes","60-79yo","high"
"0","activity_02","yes","60-79yo","high"
"0","activity_04","yes","60-79yo","high"
"0","activity_05","yes","60-79yo","high"
"1","activity_02","yes","0-19yo","middle"
"1","activity_05","yes","0-19yo","middle"
"1","activity_04","yes","0-19yo","middle"
"2","activity_05","no","60-79yo","high"
"2","activity_02","no","60-79yo","high"
"2","activity_04","no","60-79yo","high"
"2","activity_01","no","60-79yo","high"
"3","activity_03","no","80yo+","middle"
"3","activity_03","no","80yo+","middle"
"3","activity_05","no","80yo+","middle"
"3","activity_01","no","80yo+","middle"
"4","activity_04","yes","20-39yo","low"
"4","activity_01","yes","20-39yo","low"
"4","activity_04","yes","20-39yo","low"
"4","activity_02","yes","20-39yo","low"
"4","activity_03","yes","20-39yo","low"
"4","activity_04","yes","20-39yo","low"
"5","activity_02","yes","60-79yo","middle"
"5","activity_03","yes","60-79yo","middle"
"5","activity_01","yes","60-79yo","middle"
"6","activity_03","no","60-79yo","high"
"6","activity_02","no","60-79yo","high"
"6","activity_05","no","60-79yo","high"
"6","activity_04","no","60-79yo","high"
"6","activity_01","no","60-79yo","high"
"7","activity_03","no","80yo+","middle"
"7","activity_01","no","80yo+","middle"
"7","activity_03","no","80yo+","middle"
"7","activity_05","no","80yo+","middle"
"8","activity_04","no","40-59yo","middle"
"8","activity_01","no","40-59yo","middle"
"8","activity_02","no","40-59yo","middle"
"8","activity_03","no","40-59yo","middle"
"8","activity_04","no","40-59yo","middle"
"9","activity_05","no","60-79yo","high"
"9","activity_02","no","60-79yo","high"
"9","activity_04","no","60-79yo","high"
"9","activity_01","no","60-79yo","high"
"10","activity_03","yes","0-19yo","low"
"10","activity_05","yes","0-19yo","low"
"10","activity_03","yes","0-19yo","low"
"11","activity_02","yes","0-19yo","low"
"11","activity_07","yes","0-19yo","low"
"11","activity_03","yes","0-19yo","low"
"12","activity_04","no","60-79yo","middle"
"12","activity_01","no","60-79yo","middle"
"12","activity_02","no","60-79yo","middle"
"12","activity_03","no","60-79yo","middle"
"12","activity_04","no","60-79yo","middle"
"13","activity_05","no","60-79yo","high"
"13","activity_02","no","60-79yo","high"
"13","activity_04","no","60-79yo","high"
"13","activity_01","no","60-79yo","high"
"14","activity_05","yes","60-79yo","low"
"14","activity_04","yes","60-79yo","low"
"14","activity_01","yes","60-79yo","low"
"15","activity_05","no","0-19yo","middle"
"15","activity_02","no","0-19yo","middle"
"15","activity_04","no","0-19yo","middle"
"15","activity_01","no","0-19yo","middle"
"16","activity_03","no","20-39yo","middle"
"16","activity_01","no","20-39yo","middle"
"16","activity_03","no","20-39yo","middle"
"16","activity_05","no","20-39yo","middle"
"17","activity_03","no","80yo+","high"
"17","activity_01","no","80yo+","high"
"18","activity_02","no","40-59yo","low"
"18","activity_01","no","40-59yo","low"
"18","activity_01","no","40-59yo","low"
"18","activity_05","no","40-59yo","low"
"18","activity_03","no","40-59yo","low"
"19","activity_05","yes","0-19yo","middle"
"19","activity_02","yes","0-19yo","middle"
"19","activity_04","yes","0-19yo","middle"
"19","activity_01","yes","0-19yo","middle"
"20","activity_01","yes","40-59yo","middle"
"20","activity_05","yes","40-59yo","middle"
"21","activity_03","yes","0-19yo","low"
"21","activity_01","yes","0-19yo","low"
"21","activity_02","yes","0-19yo","low"
"21","activity_03","yes","0-19yo","low"
"22","activity_04","yes","20-39yo","high"
"22","activity_01","yes","20-39yo","high"
"22","activity_02","yes","20-39yo","high"
"22","activity_03","yes","20-39yo","high"
"22","activity_04","yes","20-39yo","high"
"23","activity_03","yes","0-19yo","high"
"23","activity_03","yes","0-19yo","high"
"23","activity_01","yes","0-19yo","high"
"23","activity_05","yes","0-19yo","high"
"24","activity_03","no","80yo+","middle"
"24","activity_01","no","80yo+","middle"
"24","activity_03","no","80yo+","middle"
"24","activity_05","no","80yo+","middle"
"25","activity_04","no","80yo+","high"
"25","activity_05","no","80yo+","high"
"26","activity_01","yes","60-79yo","middle"
"26","activity_02","yes","60-79yo","middle"
"27","activity_05","no","0-19yo","high"
"27","activity_02","no","0-19yo","high"
"27","activity_04","no","0-19yo","high"
"27","activity_01","no","0-19yo","high"
"28","activity_03","no","80yo+","middle"
"28","activity_03","no","80yo+","middle"
"28","activity_05","no","80yo+","middle"
"29","activity_05","no","60-79yo","high"
"29","activity_02","no","60-79yo","high"
"29","activity_04","no","60-79yo","high"
"29","activity_01","no","60-79yo","high"
"30","activity_04","yes","40-59yo","middle"
"30","activity_02","yes","40-59yo","middle"
"30","activity_04","yes","40-59yo","middle"
"30","activity_03","yes","40-59yo","middle"
"31","activity_03","yes","80yo+","low"
"31","activity_01","yes","80yo+","low"
"31","activity_03","yes","80yo+","low"
"31","activity_05","yes","80yo+","low"
"32","activity_03","no","80yo+","middle"
"32","activity_07","no","80yo+","middle"
"32","activity_01","no","80yo+","middle"
"32","activity_05","no","80yo+","middle"
"33","activity_03","no","60-79yo","low"
"33","activity_01","no","60-79yo","low"
"33","activity_03","no","60-79yo","low"
"33","activity_05","no","60-79yo","low"
"34","activity_01","no","80yo+","middle"
"34","activity_03","no","80yo+","middle"
"34","activity_03","no","80yo+","middle"
"34","activity_05","no","80yo+","middle"
"35","activity_03","yes","60-79yo","high"
"35","activity_01","yes","60-79yo","high"
"35","activity_03","yes","60-79yo","high"
"35","activity_05","yes","60-79yo","high"
"36","activity_05","no","60-79yo","high"
"36","activity_04","no","60-79yo","high"
"36","activity_07","no","60-79yo","high"
"36","activity_01","no","60-79yo","high"
"37","activity_01","no","80yo+","middle"
"37","activity_03","no","80yo+","middle"
"37","noise_1","no","80yo+","middle"
