"trace_id","activities","owner","employed","age"
"0","activity_05","no","yes","40-59yo"
"0","activity_06","no","yes","40-59yo"
"0","activity_07","no","yes","40-59yo"
"0","activity_08","no","yes","40-59yo"
"0","activity_01","no","yes","40-59yo"
"0","activity_03","no","yes","40-59yo"
"1","activity_02","no","yes","20-39yo"
"2","noise_4","yes","no","80yo+"
"2","activity_02","yes","no","80yo+"
"2","activity_07","yes","no","80yo+"
"2","noise_0","yes","no","80yo+"
"3","activity_07","yes","no","0-19yo"
"3","activity_02","yes","no","0-19yo"
"3","activity_06","yes","no","0-19yo"
"4","activity_10","no","no","20-39yo"
"4","activity_09","no","no","20-39yo"
"4","activity_02","no","no","20-39yo"
"4","activity_04","no","no","20-39yo"
"5","activity_02","yes","yes","80yo+"
"5","activity_07","yes","yes","80yo+"
"5","activity_06","yes","yes","80yo+"
"6","activity_05","yes","yes","60-79yo"
"6","activity_06","yes","yes","60-79yo"
"6","activity_07","yes","yes","60-79yo"
"6","noise_0","yes","yes","60-79yo"
"6","activity_01","yes","yes","60-79yo"
"6","activity_03","yes","yes","60-79yo"
"7","activity_09","yes","no","0-19yo"
"7","activity_10","yes","no","0-19yo"
"7","activity_02","yes","no","0-19yo"
"8","activity_07","no","yes","0-19yo"
"8","activity_02","no","yes","0-19yo"
"8","activity_06","no","yes","0-19yo"
"9","activity_05","yes","yes","0-19yo"
"9","activity_06","yes","yes","0-19yo"
"9","activity_07","yes","yes","0-19yo"
"9","activity_08","yes","yes","0-19yo"
"9","activity_01","yes","yes","0-19yo"
"9","activity_03","yes","yes","0-19yo"
"10","activity_01","yes","yes","20-39yo"
"10","activity_07","yes","yes","20-39yo"
"10","activity_06","yes","yes","20-39yo"
"10","activity_02","yes","yes","20-39yo"
"11","activity_02","no","yes","0-19yo"
"11","activity_06","no","yes","0-19yo"
"11","activity_08","no","yes","0-19yo"
"12","activity_01","no","yes","0-19yo"
"12","noise_1","no","yes","0-19yo"
"12","activity_02","no","yes","0-19yo"
"12","activity_05","no","yes","0-19yo"
"13","activity_06","no","no","0-19yo"
"13","activity_03","no","no","0-19yo"
"14","activity_02","yes","no","60-79yo"
"14","activity_02","yes","no","60-79yo"
"14","activity_07","yes","no","60-79yo"
"14","activity_06","yes","no","60-79yo"
"15","activity_10","no","no","40-59yo"
"15","activity_09","no","no","40-59yo"
"15","activity_02","no","no","40-59yo"
"15","activity_04","no","no","40-59yo"
"16","activity_01","yes","no","0-19yo"
"16","activity_02","yes","no","0-19yo"
"16","activity_09","yes","no","0-19yo"
"16","activity_05","yes","no","0-19yo"
"17","activity_02","no","no","0-19yo"
"17","activity_07","no","no","0-19yo"
"18","activity_02","no","no","40-59yo"
"18","activity_07","no","no","40-59yo"
"18","noise_0","no","no","40-59yo"
"18","activity_06","no","no","40-59yo"
"19","activity_02","yes","no","60-79yo"
"19","activity_07","yes","no","60-79yo"
"19","activity_06","yes","no","60-79yo"
"20","activity_08","no","no","60-79yo"
"20","activity_05","no","no","60-79yo"
"20","activity_07","no","no","60-79yo"
"20","activity_01","no","no","60-79yo"
"20","activity_03","no","no","60-79yo"
"21","activity_05","no","no","80yo+"
"21","activity_02","no","no","80yo+"
"21","activity_06","no","no","80yo+"
"22","activity_10","yes","no","0-19yo"
"22","activity_09","yes","no","0-19yo"
"22","activity_04","yes","no","0-19yo"
"23","activity_06","yes","no","0-19yo"
