"trace_id","activities","owner","employed","car_owner","income","g"
"0","activity_05","no","no","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"0","activity_06","no","no","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"0","noise_1","no","no","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"0","activity_07","no","no","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"1","noise_2","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"1","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"1","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"1","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"1","activity_06","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"2","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"2","activity_06","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"3","activity_05","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"3","activity_05","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"3","activity_06","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"3","activity_07","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"4","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"4","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"4","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"5","activity_05","no","yes","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","activity_05","no","yes","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","noise_4","no","yes","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","activity_06","no","yes","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","noise_4","no","yes","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","activity_07","no","yes","yes","middle","activity_05__+__activity_05__+__activity_06__+__activity_07"
"6","noise_3","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_10","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_02","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_01","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_01","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"7","activity_04","no","yes","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"7","activity_05","no","yes","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"7","activity_10","no","yes","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"7","activity_11","no","yes","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
