"trace_id","activities","owner","employed","age","income","g"
"0","noise_0","no","yes","60-79yo","low","activity_09__+__activity_04__+__activity_02"
"0","activity_09","no","yes","60-79yo","low","activity_09__+__activity_04__+__activity_02"
"0","activity_04","no","yes","60-79yo","low","activity_09__+__activity_04__+__activity_02"
"1","activity_10","no","no","60-79yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"1","activity_07","no","no","60-79yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"1","activity_08","no","no","60-79yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"1","activity_09","no","no","60-79yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"2","activity_09","no","yes","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"2","activity_04","no","yes","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"2","activity_02","no","yes","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"3","noise_0","yes","yes","80yo+","low","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_06","yes","yes","80yo+","low","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_10","yes","yes","80yo+","low","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_03","yes","yes","80yo+","low","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","noise_0","yes","yes","80yo+","low","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_07","yes","yes","80yo+","low","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"4","activity_09","no","yes","60-79yo","high","activity_09__+__activity_04__+__activity_02"
"4","activity_04","no","yes","60-79yo","high","activity_09__+__activity_04__+__activity_02"
"4","activity_02","no","yes","60-79yo","high","activity_09__+__activity_04__+__activity_02"
"5","activity_10","yes","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_06","yes","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_02","yes","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_03","yes","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_07","yes","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"6","activity_01","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"6","activity_04","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"6","activity_07","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"6","activity_06","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"6","activity_05","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"6","activity_05","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"6","activity_02","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"6","activity_03","yes","no","60-79yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"7","activity_04","no","no","40-59yo","high","activity_09__+__activity_04__+__activity_02"
"7","noise_0","no","no","40-59yo","high","activity_09__+__activity_04__+__activity_02"
"7","activity_02","no","no","40-59yo","high","activity_09__+__activity_04__+__activity_02"
"8","activity_03","yes","no","80yo+","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"8","activity_01","yes","no","80yo+","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"8","activity_04","yes","no","80yo+","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"8","activity_01","yes","no","80yo+","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"8","activity_05","yes","no","80yo+","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"9","activity_07","no","yes","80yo+","high","activity_10__+__activity_07__+__activity_08__+__activity_09"
