"trace_id","activities","owner","employed","age","income","g"
"0","activity_09","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"0","activity_04","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"0","activity_02","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"1","activity_10","no","yes","20-39yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"1","activity_06","no","yes","20-39yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"1","activity_02","no","yes","20-39yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"1","activity_03","no","yes","20-39yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"1","activity_07","no","yes","20-39yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"2","activity_01","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"2","activity_04","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"2","activity_07","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"2","activity_06","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"2","activity_05","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"2","activity_05","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"2","activity_02","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"2","activity_03","yes","no","40-59yo","low","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"3","activity_10","no","yes","60-79yo","high","activity_10__+__activity_07__+__activity_08__+__activity_09"
"3","activity_07","no","yes","60-79yo","high","activity_10__+__activity_07__+__activity_08__+__activity_09"
"3","activity_08","no","yes","60-79yo","high","activity_10__+__activity_07__+__activity_08__+__activity_09"
"3","activity_09","no","yes","60-79yo","high","activity_10__+__activity_07__+__activity_08__+__activity_09"
"4","activity_09","yes","no","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"4","activity_04","yes","no","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"4","activity_02","yes","no","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"5","activity_10","no","yes","20-39yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_06","no","yes","20-39yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_02","no","yes","20-39yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_03","no","yes","20-39yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"5","activity_07","no","yes","20-39yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"6","activity_10","no","yes","40-59yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"6","activity_07","no","yes","40-59yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"6","activity_08","no","yes","40-59yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"6","activity_09","no","yes","40-59yo","middle","activity_10__+__activity_07__+__activity_08__+__activity_09"
"7","activity_03","yes","no","20-39yo","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"7","activity_01","yes","no","20-39yo","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"7","activity_04","yes","no","20-39yo","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"7","activity_01","yes","no","20-39yo","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"7","activity_05","yes","no","20-39yo","middle","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"8","activity_09","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"8","activity_04","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"8","activity_02","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"9","activity_09","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"9","activity_04","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
"9","activity_02","no","no","20-39yo","high","activity_09__+__activity_04__+__activity_02"
