"trace_id","activities","owner","employed","age","income","g"
"0","activity_09","no","yes","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"0","activity_04","no","yes","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"0","activity_02","no","yes","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"1","activity_10","no","yes","0-19yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"1","activity_07","no","yes","0-19yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"1","activity_08","no","yes","0-19yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"1","activity_09","no","yes","0-19yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"2","activity_03","yes","yes","80yo+","high","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"2","activity_01","yes","yes","80yo+","high","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"2","activity_04","yes","yes","80yo+","high","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"2","activity_01","yes","yes","80yo+","high","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"2","activity_05","yes","yes","80yo+","high","activity_03__+__activity_01__+__activity_04__+__activity_01__+__activity_05"
"3","activity_10","yes","yes","60-79yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_06","yes","yes","60-79yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_02","yes","yes","60-79yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_03","yes","yes","60-79yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"3","activity_07","yes","yes","60-79yo","high","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"4","activity_01","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"4","activity_04","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"4","activity_07","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"4","activity_06","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"4","activity_05","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"4","activity_05","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"4","activity_02","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"4","activity_03","no","no","0-19yo","middle","activity_01__+__activity_04__+__activity_07__+__activity_06__+__activity_05__+__activity_05__+__activity_02__+__activity_03"
"5","activity_04","yes","no","0-19yo","low","activity_09__+__activity_04__+__activity_02"
"5","activity_02","yes","no","0-19yo","low","activity_09__+__activity_04__+__activity_02"
"5","activity_09","yes","no","0-19yo","low","activity_09__+__activity_04__+__activity_02"
"6","activity_09","no","yes","60-79yo","high","activity_09__+__activity_04__+__activity_02"
"6","activity_04","no","yes","60-79yo","high","activity_09__+__activity_04__+__activity_02"
"6","activity_02","no","yes","60-79yo","high","activity_09__+__activity_04__+__activity_02"
"7","activity_10","no","yes","40-59yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"7","activity_07","no","yes","40-59yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"7","activity_08","no","yes","40-59yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"7","activity_09","no","yes","40-59yo","low","activity_10__+__activity_07__+__activity_08__+__activity_09"
"8","activity_09","no","yes","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"8","activity_04","no","yes","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"8","activity_02","no","yes","0-19yo","high","activity_09__+__activity_04__+__activity_02"
"9","activity_10","no","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"9","activity_06","no","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"9","activity_02","no","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"9","activity_03","no","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
"9","activity_07","no","yes","60-79yo","middle","activity_10__+__activity_06__+__activity_02__+__activity_03__+__activity_07"
