"trace_id","activities","employed","age","income"
"0","activity_05","yes","40-59yo","low"
"0","activity_04","yes","40-59yo","low"
"0","activity_01","yes","40-59yo","low"
"1","activity_03","no","0-19yo","low"
"1","activity_03","no","0-19yo","low"
"1","activity_01","no","0-19yo","low"
"1","activity_05","no","0-19yo","low"
"2","activity_03","yes","80yo+","low"
"2","activity_01","yes","80yo+","low"
"2","activity_03","yes","80yo+","low"
"2","activity_05","yes","80yo+","low"
"3","activity_05","no","0-19yo","low"
"3","activity_02","no","0-19yo","low"
"3","activity_04","no","0-19yo","low"
"3","activity_01","no","0-19yo","low"
"4","activity_04","yes","40-59yo","middle"
"4","activity_01","yes","40-59yo","middle"
"4","activity_02","yes","40-59yo","middle"
"4","activity_03","yes","40-59yo","middle"
"4","activity_04","yes","40-59yo","middle"
"5","activity_03","no","20-39yo","high"
"5","activity_03","no","20-39yo","high"
"5","activity_05","no","20-39yo","high"
"5","activity_01","no","20-39yo","high"
"6","activity_01","yes","0-19yo","low"
"6","activity_02","yes","0-19yo","low"
"6","activity_03","yes","0-19yo","low"
"6","activity_07","yes","0-19yo","low"
"7","activity_03","no","80yo+","low"
"7","activity_07","no","80yo+","low"
"7","activity_03","no","80yo+","low"
"7","activity_05","no","80yo+","low"
"8","activity_04","no","60-79yo","high"
"8","activity_05","no","60-79yo","high"
"8","activity_02","no","60-79yo","high"
"8","activity_01","no","60-79yo","high"
"8","activity_07","no","60-79yo","high"
"9","activity_03","no","80yo+","middle"
"9","activity_02","no","80yo+","middle"
"9","noise_2","no","80yo+","middle"
"9","activity_05","no","80yo+","middle"
"9","activity_01","no","80yo+","middle"
"9","activity_05","no","80yo+","middle"
