"trace_id","activities","owner","employed","age","g"
"0","activity_06","no","yes","60-79yo","activity_02__+__activity_07__+__activity_06"
"1","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_02","no","no","20-39yo","activity_02__+__activity_07__+__activity_06"
"2","activity_07","no","no","20-39yo","activity_02__+__activity_07__+__activity_06"
"2","activity_06","no","no","20-39yo","activity_02__+__activity_07__+__activity_06"
"3","activity_05","yes","no","20-39yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"3","activity_06","yes","no","20-39yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"3","activity_07","yes","no","20-39yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"3","activity_08","yes","no","20-39yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"3","activity_01","yes","no","20-39yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"3","activity_03","yes","no","20-39yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"4","activity_10","no","no","80yo+","activity_10__+__activity_09__+__activity_02__+__activity_04"
"4","activity_09","no","no","80yo+","activity_10__+__activity_09__+__activity_02__+__activity_04"
"4","activity_02","no","no","80yo+","activity_10__+__activity_09__+__activity_02__+__activity_04"
"4","activity_04","no","no","80yo+","activity_10__+__activity_09__+__activity_02__+__activity_04"
"5","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"6","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"6","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"6","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"7","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"7","activity_05","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"7","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"8","activity_01","yes","yes","60-79yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"8","activity_02","yes","yes","60-79yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"8","activity_09","yes","yes","60-79yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"8","activity_05","yes","yes","60-79yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"9","activity_05","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"9","activity_06","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"9","activity_07","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"9","activity_08","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"9","activity_01","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"9","activity_03","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
