"trace_id","activities","owner","employed","age","g"
"0","activity_07","yes","no","60-79yo","activity_02__+__activity_07__+__activity_06"
"0","activity_02","yes","no","60-79yo","activity_02__+__activity_07__+__activity_06"
"0","activity_03","yes","no","60-79yo","activity_02__+__activity_07__+__activity_06"
"0","activity_06","yes","no","60-79yo","activity_02__+__activity_07__+__activity_06"
"1","activity_06","yes","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"1","activity_08","yes","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"1","activity_01","yes","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"1","activity_05","yes","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"1","activity_07","yes","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"1","activity_03","yes","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"2","activity_02","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_07","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_06","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_06","yes","no","20-39yo","activity_02__+__activity_07__+__activity_06"
"3","activity_02","yes","no","20-39yo","activity_02__+__activity_07__+__activity_06"
"3","activity_07","yes","no","20-39yo","activity_02__+__activity_07__+__activity_06"
"4","activity_02","no","yes","40-59yo","activity_02__+__activity_07__+__activity_06"
"4","activity_07","no","yes","40-59yo","activity_02__+__activity_07__+__activity_06"
"4","activity_06","no","yes","40-59yo","activity_02__+__activity_07__+__activity_06"
"5","activity_01","yes","yes","80yo+","activity_01__+__activity_02__+__activity_09__+__activity_05"
"5","activity_02","yes","yes","80yo+","activity_01__+__activity_02__+__activity_09__+__activity_05"
"5","activity_09","yes","yes","80yo+","activity_01__+__activity_02__+__activity_09__+__activity_05"
"5","activity_05","yes","yes","80yo+","activity_01__+__activity_02__+__activity_09__+__activity_05"
"6","activity_10","yes","no","40-59yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"6","activity_09","yes","no","40-59yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"6","activity_02","yes","no","40-59yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"6","activity_04","yes","no","40-59yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"7","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"8","activity_05","no","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"8","activity_06","no","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"8","activity_07","no","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"8","activity_08","no","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"8","activity_01","no","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"8","activity_03","no","no","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"9","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"9","activity_07","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"9","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
