"trace_id","activities","owner","age","car_owner","income","g"
"0","activity_09","yes","60-79yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_01","yes","60-79yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_04","yes","60-79yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_04","yes","60-79yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_09","yes","40-59yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_04","yes","40-59yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_01","yes","40-59yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","noise_1","yes","40-59yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_04","yes","40-59yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"2","activity_03","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"2","noise_0","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"2","activity_02","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"2","noise_1","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"2","activity_04","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"3","activity_09","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_04","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_03","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_01","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_04","no","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_01","no","40-59yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_09","no","40-59yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_04","no","40-59yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"5","activity_09","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"5","activity_01","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"5","activity_04","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"5","activity_04","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"6","activity_03","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"6","activity_02","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"6","activity_01","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"6","activity_04","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"7","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_01","no","40-59yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_09","no","40-59yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_01","no","40-59yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_04","no","40-59yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"10","activity_03","no","60-79yo","no","middle","activity_03__+__activity_10__+__activity_06__+__activity_11"
"10","activity_10","no","60-79yo","no","middle","activity_03__+__activity_10__+__activity_06__+__activity_11"
"10","activity_06","no","60-79yo","no","middle","activity_03__+__activity_10__+__activity_06__+__activity_11"
"10","activity_11","no","60-79yo","no","middle","activity_03__+__activity_10__+__activity_06__+__activity_11"
"11","activity_09","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"11","activity_01","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"11","activity_04","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"11","activity_04","no","0-19yo","no","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"12","noise_1","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"12","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"12","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"12","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"12","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"12","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"12","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"13","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"13","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"13","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"13","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"14","activity_01","yes","80yo+","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"14","activity_09","yes","80yo+","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"14","activity_04","yes","80yo+","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"15","activity_04","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"15","activity_01","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"15","activity_03","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"15","activity_06","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"16","activity_04","no","40-59yo","no","high","activity_04__+__activity_01__+__activity_04"
"16","activity_01","no","40-59yo","no","high","activity_04__+__activity_01__+__activity_04"
"16","activity_04","no","40-59yo","no","high","activity_04__+__activity_01__+__activity_04"
"17","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"17","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"17","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"18","activity_04","no","0-19yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"18","activity_09","no","0-19yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"18","activity_01","no","0-19yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"18","activity_02","no","0-19yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"18","activity_04","no","0-19yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"18","noise_1","no","0-19yo","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"19","noise_3","no","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"19","activity_09","no","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"19","activity_01","no","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"19","activity_04","no","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"19","activity_04","no","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"20","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"20","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"20","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"20","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"21","activity_09","no","60-79yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"21","activity_04","no","60-79yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"21","activity_01","no","60-79yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"21","activity_04","no","60-79yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"21","activity_04","no","60-79yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"22","activity_01","yes","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"22","activity_09","yes","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"22","activity_04","yes","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"22","activity_04","yes","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"22","noise_2","yes","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"22","activity_04","yes","0-19yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"23","noise_4","yes","80yo+","yes","high","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"23","activity_04","yes","80yo+","yes","high","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"23","activity_01","yes","80yo+","yes","high","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"23","activity_08","yes","80yo+","yes","high","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"23","activity_07","yes","80yo+","yes","high","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"23","activity_03","yes","80yo+","yes","high","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"23","activity_06","yes","80yo+","yes","high","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"24","activity_04","yes","0-19yo","yes","low","activity_04__+__activity_01__+__activity_04"
"25","noise_0","yes","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"25","activity_04","yes","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"25","activity_09","yes","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"25","activity_04","yes","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"26","activity_10","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"26","activity_03","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"26","noise_0","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"26","activity_11","yes","40-59yo","yes","high","activity_03__+__activity_10__+__activity_06__+__activity_11"
"27","activity_09","yes","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"27","activity_04","yes","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"27","activity_01","yes","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"27","activity_04","yes","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"28","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"28","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"28","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"28","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"29","activity_04","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"29","activity_01","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"29","activity_03","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"29","activity_08","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"29","activity_07","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"29","activity_06","no","60-79yo","no","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"30","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"30","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"30","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"31","activity_09","no","60-79yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"31","activity_01","no","60-79yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"31","activity_04","no","60-79yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"31","activity_04","no","60-79yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"32","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"32","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"32","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"32","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"33","activity_04","yes","20-39yo","no","high","activity_04__+__activity_01__+__activity_04"
"33","activity_01","yes","20-39yo","no","high","activity_04__+__activity_01__+__activity_04"
"33","activity_04","yes","20-39yo","no","high","activity_04__+__activity_01__+__activity_04"
"34","activity_09","no","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"34","activity_01","no","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"34","activity_04","no","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"34","activity_04","no","60-79yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"35","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"35","activity_02","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"35","noise_0","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"35","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"35","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"36","activity_09","no","0-19yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"36","activity_01","no","0-19yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"36","activity_04","no","0-19yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"37","activity_04","yes","0-19yo","yes","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"37","activity_01","yes","0-19yo","yes","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"37","activity_03","yes","0-19yo","yes","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"37","activity_08","yes","0-19yo","yes","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"37","activity_07","yes","0-19yo","yes","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"37","activity_06","yes","0-19yo","yes","middle","activity_04__+__activity_01__+__activity_03__+__activity_08__+__activity_07__+__activity_06"
"38","activity_09","no","0-19yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"38","activity_01","no","0-19yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"38","activity_04","no","0-19yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"38","activity_04","no","0-19yo","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"39","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"39","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"39","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"39","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"40","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"40","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"40","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"41","activity_04","yes","80yo+","yes","low","activity_03__+__activity_02__+__activity_01__+__activity_04"
"41","activity_02","yes","80yo+","yes","low","activity_03__+__activity_02__+__activity_01__+__activity_04"
"41","activity_01","yes","80yo+","yes","low","activity_03__+__activity_02__+__activity_01__+__activity_04"
"42","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"42","noise_4","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
