"trace_id","activities","owner","employed","car_owner"
"0","activity_06","yes","no","yes"
"0","activity_05","yes","no","yes"
"0","activity_13","yes","no","yes"
"0","activity_14","yes","no","yes"
"0","activity_12","yes","no","yes"
"1","activity_07","no","no","no"
"1","activity_06","no","no","no"
"1","activity_05","no","no","no"
"1","activity_02","no","no","no"
"1","activity_14","no","no","no"
"2","activity_10","yes","no","no"
"2","activity_13","yes","no","no"
"2","activity_08","yes","no","no"
"2","activity_02","yes","no","no"
"3","activity_12","no","no","no"
"3","activity_07","no","no","no"
"3","activity_06","no","no","no"
"3","activity_05","no","no","no"
"3","activity_02","no","no","no"
"3","activity_13","no","no","no"
"3","activity_14","no","no","no"
"4","activity_02","yes","no","yes"
"4","activity_10","yes","no","yes"
"4","activity_03","yes","no","yes"
"4","activity_02","yes","no","yes"
"5","activity_05","yes","yes","yes"
"5","activity_04","yes","yes","yes"
"5","activity_02","yes","yes","yes"
"5","activity_05","yes","yes","yes"
"6","activity_12","yes","no","no"
"6","activity_07","yes","no","no"
"6","activity_06","yes","no","no"
"6","activity_05","yes","no","no"
"6","activity_02","yes","no","no"
"6","activity_13","yes","no","no"
"6","activity_14","yes","no","no"
"7","noise_0","no","no","yes"
"7","activity_04","no","no","yes"
"7","activity_02","no","no","yes"
"7","activity_05","no","no","yes"
"8","activity_12","no","yes","no"
"8","activity_07","no","yes","no"
"8","activity_06","no","yes","no"
"8","activity_05","no","yes","no"
"8","activity_02","no","yes","no"
"8","activity_13","no","yes","no"
"8","activity_14","no","yes","no"
"9","noise_3","no","yes","yes"
"9","activity_12","no","yes","yes"
"9","activity_06","no","yes","yes"
"9","activity_06","no","yes","yes"
"9","activity_03","no","yes","yes"
"9","activity_02","no","yes","yes"
"9","activity_13","no","yes","yes"
"9","activity_14","no","yes","yes"
"10","noise_4","no","no","no"
"10","activity_12","no","no","no"
"10","activity_14","no","no","no"
"10","activity_14","no","no","no"
"10","activity_07","no","no","no"
"10","activity_06","no","no","no"
"10","activity_05","no","no","no"
"10","activity_02","no","no","no"
"11","activity_05","no","yes","yes"
"11","activity_04","no","yes","yes"
"11","activity_02","no","yes","yes"
"11","activity_05","no","yes","yes"
"12","activity_12","no","yes","no"
"12","activity_07","no","yes","no"
"12","activity_06","no","yes","no"
"12","activity_05","no","yes","no"
"12","activity_02","no","yes","no"
"12","activity_13","no","yes","no"
"12","activity_14","no","yes","no"
"13","activity_12","yes","no","no"
"13","activity_07","yes","no","no"
"13","activity_06","yes","no","no"
"13","activity_05","yes","no","no"
"13","activity_02","yes","no","no"
"13","activity_13","yes","no","no"
"13","activity_14","yes","no","no"
"14","activity_12","no","yes","yes"
"14","activity_07","no","yes","yes"
"14","activity_06","no","yes","yes"
"14","activity_05","no","yes","yes"
"14","activity_02","no","yes","yes"
"14","activity_13","no","yes","yes"
"14","activity_14","no","yes","yes"
"15","activity_12","no","no","no"
"15","activity_07","no","no","no"
"15","activity_06","no","no","no"
"15","activity_05","no","no","no"
"15","activity_02","no","no","no"
"15","activity_13","no","no","no"
"15","activity_14","no","no","no"
"16","activity_12","no","no","no"
"16","activity_07","no","no","no"
"16","activity_06","no","no","no"
"16","activity_05","no","no","no"
"16","activity_02","no","no","no"
"16","activity_13","no","no","no"
"16","activity_14","no","no","no"
"17","activity_10","yes","yes","no"
"17","activity_13","yes","yes","no"
"17","activity_08","yes","yes","no"
"17","activity_02","yes","yes","no"
"18","activity_02","yes","yes","yes"
"18","activity_12","yes","yes","yes"
"18","activity_10","yes","yes","yes"
"18","activity_15","yes","yes","yes"
"19","activity_12","no","yes","yes"
"19","activity_07","no","yes","yes"
"19","activity_06","no","yes","yes"
"19","activity_05","no","yes","yes"
"19","activity_02","no","yes","yes"
"19","activity_13","no","yes","yes"
"19","activity_14","no","yes","yes"
"20","activity_10","no","no","yes"
"20","activity_01","no","no","yes"
"20","activity_02","no","no","yes"
"20","activity_03","no","no","yes"
"21","activity_02","no","yes","no"
"21","activity_12","no","yes","no"
"21","activity_10","no","yes","no"
"21","activity_15","no","yes","no"
"22","activity_12","no","no","no"
"22","activity_07","no","no","no"
"22","activity_06","no","no","no"
"22","activity_05","no","no","no"
"22","activity_02","no","no","no"
"22","activity_13","no","no","no"
"22","activity_14","no","no","no"
"23","activity_12","no","yes","no"
"23","activity_07","no","yes","no"
"23","activity_06","no","yes","no"
"23","activity_05","no","yes","no"
"23","activity_02","no","yes","no"
"23","activity_13","no","yes","no"
"23","activity_14","no","yes","no"
"24","activity_07","yes","yes","no"
"24","activity_06","yes","yes","no"
"24","activity_05","yes","yes","no"
"24","activity_02","yes","yes","no"
"24","activity_12","yes","yes","no"
"24","activity_06","yes","yes","no"
"24","activity_14","yes","yes","no"
"25","activity_12","yes","yes","no"
"25","activity_07","yes","yes","no"
"25","activity_06","yes","yes","no"
"25","activity_05","yes","yes","no"
"25","activity_02","yes","yes","no"
"25","activity_13","yes","yes","no"
"25","activity_14","yes","yes","no"
"26","activity_12","yes","yes","no"
"26","activity_07","yes","yes","no"
"26","activity_06","yes","yes","no"
"26","activity_05","yes","yes","no"
"26","activity_02","yes","yes","no"
"26","activity_13","yes","yes","no"
"26","activity_14","yes","yes","no"
"27","activity_12","no","yes","no"
"27","activity_07","no","yes","no"
"27","activity_06","no","yes","no"
"27","activity_05","no","yes","no"
"27","activity_02","no","yes","no"
"27","activity_13","no","yes","no"
"27","activity_14","no","yes","no"
"28","activity_10","yes","yes","no"
"28","activity_13","yes","yes","no"
"28","activity_08","yes","yes","no"
"28","activity_02","yes","yes","no"
"29","activity_02","no","yes","no"
"29","activity_10","no","yes","no"
"29","activity_03","no","yes","no"
"29","activity_02","no","yes","no"
"30","activity_01","yes","no","yes"
"30","activity_10","yes","no","yes"
"30","activity_02","yes","no","yes"
"30","activity_03","yes","no","yes"
"30","activity_03","yes","no","yes"
"31","activity_02","no","yes","no"
"31","activity_10","no","yes","no"
"31","activity_03","no","yes","no"
"31","activity_02","no","yes","no"
"32","activity_02","no","yes","yes"
"32","activity_12","no","yes","yes"
"32","activity_10","no","yes","yes"
"32","activity_15","no","yes","yes"
"33","activity_12","no","no","no"
"33","activity_07","no","no","no"
"33","activity_06","no","no","no"
"33","activity_05","no","no","no"
"33","activity_02","no","no","no"
"33","activity_13","no","no","no"
"33","activity_14","no","no","no"
"34","activity_10","no","no","yes"
"34","activity_01","no","no","yes"
"34","activity_02","no","no","yes"
"34","activity_03","no","no","yes"
"35","activity_12","yes","no","no"
"35","activity_07","yes","no","no"
"35","activity_06","yes","no","no"
"35","activity_05","yes","no","no"
"35","activity_02","yes","no","no"
"35","activity_13","yes","no","no"
"35","activity_14","yes","no","no"
"36","activity_12","no","no","no"
"36","activity_07","no","no","no"
"36","activity_06","no","no","no"
"36","activity_05","no","no","no"
"36","activity_02","no","no","no"
"36","activity_15","no","no","no"
"36","activity_13","no","no","no"
"36","activity_14","no","no","no"
"37","activity_10","no","no","no"
"37","activity_01","no","no","no"
"37","activity_02","no","no","no"
"37","activity_03","no","no","no"
"38","activity_12","no","no","no"
"38","activity_06","no","no","no"
"38","activity_05","no","no","no"
"38","activity_02","no","no","no"
"38","activity_13","no","no","no"
"38","activity_14","no","no","no"
"39","activity_12","yes","no","no"
"39","activity_06","yes","no","no"
"39","activity_07","yes","no","no"
"39","activity_05","yes","no","no"
"39","activity_07","yes","no","no"
"39","activity_02","yes","no","no"
"39","activity_13","yes","no","no"
"39","activity_14","yes","no","no"
"40","activity_12","yes","no","no"
"40","activity_07","yes","no","no"
"40","activity_06","yes","no","no"
"40","activity_05","yes","no","no"
"40","activity_02","yes","no","no"
"40","activity_13","yes","no","no"
"40","activity_14","yes","no","no"
"41","activity_12","yes","yes","yes"
"41","activity_07","yes","yes","yes"
"41","activity_06","yes","yes","yes"
"41","activity_05","yes","yes","yes"
"41","activity_02","yes","yes","yes"
"41","activity_13","yes","yes","yes"
"41","activity_14","yes","yes","yes"
"42","activity_12","no","no","no"
"42","activity_07","no","no","no"
"42","activity_06","no","no","no"
"42","activity_05","no","no","no"
"42","activity_02","no","no","no"
"42","activity_13","no","no","no"
"42","activity_14","no","no","no"
"43","activity_12","no","yes","no"
"43","activity_07","no","yes","no"
"43","activity_06","no","yes","no"
"43","activity_05","no","yes","no"
"43","activity_02","no","yes","no"
"43","activity_13","no","yes","no"
"43","activity_14","no","yes","no"
"44","activity_12","yes","yes","no"
"44","activity_07","yes","yes","no"
"44","activity_06","yes","yes","no"
"44","activity_05","yes","yes","no"
"44","activity_02","yes","yes","no"
"44","activity_13","yes","yes","no"
"44","activity_14","yes","yes","no"
"45","activity_05","yes","no","yes"
"45","activity_04","yes","no","yes"
"45","activity_02","yes","no","yes"
"45","activity_05","yes","no","yes"
"46","activity_06","yes","no","no"
"46","activity_05","yes","no","no"
"46","activity_07","yes","no","no"
"46","activity_12","yes","no","no"
"46","activity_13","yes","no","no"
"46","activity_02","yes","no","no"
"46","activity_14","yes","no","no"
"47","activity_12","no","no","no"
"47","activity_07","no","no","no"
"47","activity_06","no","no","no"
"47","activity_05","no","no","no"
"47","activity_02","no","no","no"
"47","activity_13","no","no","no"
"47","activity_14","no","no","no"
"48","activity_12","yes","yes","no"
"48","activity_07","yes","yes","no"
"48","activity_06","yes","yes","no"
"48","activity_05","yes","yes","no"
"48","activity_02","yes","yes","no"
"48","activity_13","yes","yes","no"
"48","activity_14","yes","yes","no"
"49","activity_13","yes","no","no"
"49","activity_12","yes","no","no"
"49","activity_07","yes","no","no"
"49","noise_1","yes","no","no"
"49","activity_05","yes","no","no"
"49","activity_02","yes","no","no"
"50","activity_12","no","yes","no"
"50","activity_07","no","yes","no"
"50","activity_06","no","yes","no"
"50","activity_05","no","yes","no"
"50","activity_02","no","yes","no"
"50","activity_13","no","yes","no"
"50","activity_14","no","yes","no"
"51","activity_12","yes","no","no"
"51","activity_07","yes","no","no"
"51","activity_06","yes","no","no"
"51","activity_05","yes","no","no"
"51","activity_02","yes","no","no"
"51","activity_13","yes","no","no"
