"trace_id","activities","owner","employed","car_owner","income","g"
"0","noise_0","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"0","activity_05","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"0","activity_11","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"0","activity_11","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"1","activity_09","no","no","no","high","activity_08__+__activity_09__+__activity_08__+__activity_06"
"1","activity_08","no","no","no","high","activity_08__+__activity_09__+__activity_08__+__activity_06"
"1","activity_06","no","no","no","high","activity_08__+__activity_09__+__activity_08__+__activity_06"
"2","activity_02","no","no","no","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"2","activity_01","no","no","no","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"2","activity_03","no","no","no","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"2","activity_04","no","no","no","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"2","activity_01","no","no","no","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"2","activity_03","no","no","no","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"2","activity_03","no","no","no","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"3","activity_02","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"3","activity_01","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"3","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"3","activity_04","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"3","activity_01","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"3","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"4","activity_04","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"4","activity_05","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"4","activity_10","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"4","activity_11","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"4","activity_11","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"5","activity_05","yes","no","no","low","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","activity_05","yes","no","no","low","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","activity_06","yes","no","no","low","activity_05__+__activity_05__+__activity_06__+__activity_07"
"5","activity_07","yes","no","no","low","activity_05__+__activity_05__+__activity_06__+__activity_07"
"6","activity_08","yes","no","no","high","activity_08__+__activity_09__+__activity_08__+__activity_06"
"6","activity_09","yes","no","no","high","activity_08__+__activity_09__+__activity_08__+__activity_06"
"6","activity_08","yes","no","no","high","activity_08__+__activity_09__+__activity_08__+__activity_06"
"6","activity_06","yes","no","no","high","activity_08__+__activity_09__+__activity_08__+__activity_06"
"7","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"7","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"7","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"7","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"7","activity_06","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"8","activity_05","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"8","activity_06","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"8","noise_4","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"8","activity_05","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"8","activity_06","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"9","activity_02","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"9","noise_0","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"9","activity_01","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"9","activity_04","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"9","activity_01","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"9","activity_03","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"9","activity_03","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"9","activity_03","yes","no","no","high","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
