"trace_id","activities","owner","income"
"0","activity_04","yes","low"
"0","activity_03","yes","low"
"0","activity_01","yes","low"
"1","noise_1","yes","low"
"1","activity_03","yes","low"
"1","noise_3","yes","low"
"1","activity_04","yes","low"
"1","activity_01","yes","low"
"2","activity_03","no","high"
"2","activity_02","no","high"
"2","activity_01","no","high"
"2","activity_01","no","high"
"2","activity_01","no","high"
"3","activity_02","no","low"
"3","activity_03","no","low"
"3","activity_01","no","low"
"3","activity_01","no","low"
"3","activity_01","no","low"
"4","activity_01","no","middle"
"4","activity_01","no","middle"
"4","activity_02","no","middle"
"4","activity_01","no","middle"
"5","activity_02","yes","high"
"5","activity_03","yes","high"
"5","activity_01","yes","high"
"5","activity_01","yes","high"
"5","activity_01","yes","high"
"6","activity_03","yes","middle"
"6","activity_01","yes","middle"
"6","activity_02","yes","middle"
"6","activity_01","yes","middle"
"6","activity_01","yes","middle"
"7","activity_03","yes","low"
"7","activity_01","yes","low"
"7","activity_01","yes","low"
"7","activity_02","yes","low"
"8","activity_02","yes","high"
"8","activity_01","yes","high"
"8","activity_03","yes","high"
"8","activity_01","yes","high"
"9","activity_01","no","high"
"9","activity_02","no","high"
"9","activity_03","no","high"
"9","activity_01","no","high"
"9","activity_01","no","high"
"10","activity_03","yes","low"
"10","activity_01","yes","low"
"10","activity_04","yes","low"
"10","noise_2","yes","low"
"11","activity_02","yes","high"
"11","activity_01","yes","high"
"11","activity_01","yes","high"
"11","activity_01","yes","high"
"11","activity_03","yes","high"
"12","activity_02","no","high"
"12","activity_03","no","high"
"12","activity_01","no","high"
"12","activity_01","no","high"
"13","activity_02","no","high"
"13","activity_03","no","high"
"13","noise_2","no","high"
"13","activity_01","no","high"
"13","activity_03","no","high"
"13","activity_01","no","high"
"14","activity_01","yes","middle"
"14","activity_01","yes","middle"
"14","activity_02","yes","middle"
"15","activity_03","no","middle"
"15","activity_02","no","middle"
"15","activity_01","no","middle"
"16","activity_02","yes","high"
"16","activity_03","yes","high"
"16","noise_0","yes","high"
"16","activity_01","yes","high"
"16","activity_01","yes","high"
"16","activity_01","yes","high"
"17","activity_01","no","low"
"17","noise_0","no","low"
"17","activity_03","no","low"
"17","activity_01","no","low"
"17","noise_3","no","low"
"17","activity_02","no","low"
"18","activity_02","no","low"
"18","activity_03","no","low"
"18","activity_01","no","low"
"18","activity_01","no","low"
"18","activity_01","no","low"
"19","activity_02","yes","middle"
"19","activity_03","yes","middle"
"19","activity_01","yes","middle"
"19","activity_01","yes","middle"
"19","activity_01","yes","middle"
"20","activity_01","no","low"
"20","noise_4","no","low"
"20","activity_02","no","low"
"20","activity_03","no","low"
"20","activity_01","no","low"
"21","activity_02","no","middle"
"21","activity_03","no","middle"
"21","activity_01","no","middle"
"21","activity_01","no","middle"
"21","activity_01","no","middle"
"22","activity_01","yes","low"
"22","activity_02","yes","low"
"22","activity_01","yes","low"
"23","activity_02","no","middle"
"23","activity_03","no","middle"
"23","activity_01","no","middle"
"23","activity_01","no","middle"
"23","activity_01","no","middle"
"24","activity_03","no","low"
"24","activity_02","no","low"
"24","activity_03","no","low"
"24","activity_01","no","low"
"24","activity_01","no","low"
"24","noise_4","no","low"
"24","activity_01","no","low"
"25","activity_01","no","low"
"25","activity_03","no","low"
"25","activity_04","no","low"
"25","activity_01","no","low"
"26","noise_3","no","middle"
"26","activity_02","no","middle"
"26","activity_01","no","middle"
"26","activity_01","no","middle"
"27","activity_01","no","high"
"27","activity_01","no","high"
"27","activity_01","no","high"
"28","activity_02","yes","middle"
"28","activity_04","yes","middle"
"28","activity_03","yes","middle"
"28","activity_01","yes","middle"
"28","activity_01","yes","middle"
"28","activity_01","yes","middle"
"29","activity_02","yes","high"
"29","activity_03","yes","high"
"29","activity_01","yes","high"
"29","activity_01","yes","high"
"29","activity_01","yes","high"
"30","activity_02","no","low"
"30","activity_03","no","low"
"30","activity_01","no","low"
"30","activity_01","no","low"
"31","activity_02","yes","middle"
"31","activity_01","yes","middle"
"31","activity_03","yes","middle"
"31","activity_03","yes","middle"
"31","activity_01","yes","middle"
"32","activity_03","yes","middle"
"32","noise_3","yes","middle"
"32","activity_01","yes","middle"
"32","activity_01","yes","middle"
"32","activity_01","yes","middle"
"33","activity_02","yes","low"
"33","activity_03","yes","low"
"33","activity_01","yes","low"
"33","activity_01","yes","low"
"33","activity_01","yes","low"
"34","activity_02","no","low"
"34","activity_03","no","low"
"34","activity_01","no","low"
"34","activity_01","no","low"
"34","activity_01","no","low"
"34","activity_04","no","low"
"34","activity_03","no","low"
"34","activity_01","no","low"
"35","activity_01","yes","high"
"35","activity_02","yes","high"
"35","activity_01","yes","high"
"35","activity_03","yes","high"
"35","activity_01","yes","high"
