"trace_id","activities","owner","income"
"0","activity_01","yes","middle"
"0","activity_01","yes","middle"
"0","activity_02","yes","middle"
"1","activity_03","yes","high"
"1","activity_01","yes","high"
"1","noise_1","yes","high"
"1","activity_01","yes","high"
"1","activity_01","yes","high"
"2","activity_02","yes","high"
"2","activity_03","yes","high"
"2","activity_01","yes","high"
"2","activity_01","yes","high"
"2","activity_01","yes","high"
"3","noise_2","no","high"
"3","activity_02","no","high"
"3","activity_01","no","high"
"3","activity_01","no","high"
"4","activity_04","yes","high"
"4","activity_03","yes","high"
"5","activity_02","no","high"
"5","activity_03","no","high"
"5","activity_01","no","high"
"5","activity_01","no","high"
"6","activity_03","yes","high"
"6","activity_01","yes","high"
"7","activity_02","yes","high"
"7","activity_03","yes","high"
"7","activity_01","yes","high"
"7","activity_01","yes","high"
"7","activity_01","yes","high"
"8","activity_01","no","high"
"8","activity_02","no","high"
"8","activity_03","no","high"
"8","activity_01","no","high"
"8","activity_01","no","high"
"9","activity_02","yes","high"
"9","activity_01","yes","high"
"9","activity_01","yes","high"
"9","activity_01","yes","high"
"9","activity_03","yes","high"
"10","activity_02","yes","high"
"10","activity_03","yes","high"
"10","activity_01","yes","high"
"10","noise_2","yes","high"
"10","noise_1","yes","high"
"10","noise_4","yes","high"
"10","activity_01","yes","high"
"11","activity_02","no","high"
"11","activity_03","no","high"
"11","activity_01","no","high"
"11","activity_01","no","high"
"11","activity_01","no","high"
"12","activity_02","yes","low"
"12","activity_02","yes","low"
"12","activity_01","yes","low"
"12","activity_01","yes","low"
"12","activity_03","yes","low"
"12","activity_01","yes","low"
"13","activity_02","yes","high"
"13","activity_03","yes","high"
"13","activity_01","yes","high"
"13","activity_01","yes","high"
"13","activity_01","yes","high"
"14","activity_02","no","middle"
"14","activity_03","no","middle"
"14","activity_01","no","middle"
"14","activity_01","no","middle"
"14","activity_01","no","middle"
"15","activity_01","yes","low"
"15","activity_01","yes","low"
"15","activity_02","yes","low"
"16","noise_0","no","high"
"16","noise_1","no","high"
"16","activity_01","no","high"
"16","activity_01","no","high"
"16","activity_02","no","high"
"17","activity_02","yes","high"
"17","activity_03","yes","high"
"17","activity_01","yes","high"
"17","activity_01","yes","high"
"17","activity_01","yes","high"
"18","activity_02","yes","low"
"18","activity_01","yes","low"
"18","activity_03","yes","low"
"18","activity_01","yes","low"
"18","activity_01","yes","low"
"19","activity_02","no","high"
"19","activity_03","no","high"
"19","activity_01","no","high"
"19","activity_01","no","high"
"19","activity_01","no","high"
"20","activity_02","no","high"
"20","noise_0","no","high"
"20","activity_03","no","high"
"20","activity_03","no","high"
"20","activity_01","no","high"
"20","activity_01","no","high"
"21","activity_02","yes","high"
"21","activity_03","yes","high"
"21","activity_01","yes","high"
"21","activity_01","yes","high"
"21","activity_01","yes","high"
"22","activity_03","yes","high"
"22","activity_01","yes","high"
"22","activity_03","yes","high"
"22","activity_01","yes","high"
"22","activity_01","yes","high"
"22","activity_01","yes","high"
"23","activity_01","yes","low"
"23","noise_1","yes","low"
"23","activity_04","yes","low"
"23","activity_01","yes","low"
"24","activity_02","yes","high"
"24","activity_03","yes","high"
"24","activity_01","yes","high"
"24","activity_03","yes","high"
"24","activity_01","yes","high"
"24","activity_01","yes","high"
"25","activity_02","no","high"
"25","activity_03","no","high"
"25","activity_01","no","high"
"25","noise_2","no","high"
"25","activity_01","no","high"
"26","activity_04","yes","low"
"26","activity_03","yes","low"
"26","activity_01","yes","low"
"27","activity_02","yes","low"
"27","noise_2","yes","low"
"27","activity_01","yes","low"
"27","activity_01","yes","low"
"27","activity_03","yes","low"
"27","activity_01","yes","low"
"28","activity_03","yes","high"
"28","activity_03","yes","high"
"28","activity_01","yes","high"
"29","activity_02","no","middle"
"29","activity_01","no","middle"
"29","activity_03","no","middle"
"29","activity_02","no","middle"
"29","activity_01","no","middle"
"29","activity_01","no","middle"
"30","noise_0","no","middle"
"30","activity_02","no","middle"
"30","activity_03","no","middle"
"30","activity_01","no","middle"
"30","activity_01","no","middle"
"31","activity_02","no","middle"
"31","activity_03","no","middle"
"31","activity_01","no","middle"
"31","activity_03","no","middle"
"31","activity_04","no","middle"
"31","activity_01","no","middle"
"32","activity_02","no","high"
"32","activity_03","no","high"
"32","activity_01","no","high"
"32","activity_01","no","high"
"32","activity_01","no","high"
"33","activity_02","no","high"
"33","activity_03","no","high"
"33","activity_01","no","high"
"33","activity_04","no","high"
"33","activity_01","no","high"
"33","activity_01","no","high"
"34","activity_02","no","middle"
"34","activity_03","no","middle"
"34","noise_1","no","middle"
"34","activity_01","no","middle"
"35","activity_01","yes","middle"
"35","activity_03","yes","middle"
"35","activity_02","yes","middle"
"35","activity_01","yes","middle"
"36","activity_02","yes","middle"
"36","activity_03","yes","middle"
"36","activity_01","yes","middle"
"36","activity_01","yes","middle"
"36","activity_01","yes","middle"
"37","activity_03","yes","middle"
"37","activity_02","yes","middle"
"37","activity_01","yes","middle"
"37","activity_01","yes","middle"
"37","activity_01","yes","middle"
"38","activity_02","yes","low"
"38","activity_01","yes","low"
"38","activity_01","yes","low"
"38","noise_4","yes","low"
"38","activity_01","yes","low"
"39","activity_02","no","high"
"39","activity_03","no","high"
"39","activity_01","no","high"
"39","activity_01","no","high"
"39","activity_01","no","high"
"40","activity_04","yes","low"
"41","activity_02","no","high"
"41","activity_03","no","high"
"41","activity_01","no","high"
"41","activity_01","no","high"
"41","activity_01","no","high"
"42","activity_02","yes","high"
"42","activity_03","yes","high"
"42","activity_01","yes","high"
"42","activity_01","yes","high"
"42","activity_01","yes","high"
"43","activity_03","yes","high"
"43","activity_01","yes","high"
"43","activity_01","yes","high"
