"trace_id","activities","owner","income"
"0","activity_03","no","high"
"0","activity_02","no","high"
"0","activity_01","no","high"
"0","activity_01","no","high"
"1","activity_02","no","middle"
"1","activity_03","no","middle"
"1","activity_01","no","middle"
"1","activity_01","no","middle"
"1","activity_01","no","middle"
"2","activity_02","no","low"
"2","activity_03","no","low"
"2","activity_01","no","low"
"2","activity_01","no","low"
"2","activity_01","no","low"
"3","activity_02","yes","high"
"3","activity_03","yes","high"
"3","activity_01","yes","high"
"3","noise_2","yes","high"
"3","activity_01","yes","high"
"4","activity_02","yes","middle"
"4","activity_01","yes","middle"
"4","noise_4","yes","middle"
"4","activity_01","yes","middle"
"5","activity_02","yes","high"
"5","activity_03","yes","high"
"5","activity_01","yes","high"
"5","activity_01","yes","high"
"5","activity_01","yes","high"
"6","activity_02","no","high"
"6","activity_03","no","high"
"6","activity_01","no","high"
"6","activity_01","no","high"
"6","activity_01","no","high"
"7","activity_02","no","high"
"7","activity_03","no","high"
"7","activity_01","no","high"
"7","activity_01","no","high"
"7","activity_04","no","high"
"7","activity_01","no","high"
"8","activity_01","no","high"
"8","noise_4","no","high"
"8","activity_02","no","high"
"8","activity_03","no","high"
"8","activity_04","no","high"
"8","activity_01","no","high"
"8","activity_01","no","high"
"9","activity_03","no","high"
"9","activity_01","no","high"
"9","activity_01","no","high"
"10","activity_02","yes","middle"
"10","noise_3","yes","middle"
"10","activity_01","yes","middle"
"11","noise_4","no","high"
"11","activity_02","no","high"
"11","activity_03","no","high"
"11","activity_01","no","high"
"11","activity_01","no","high"
"11","activity_01","no","high"
"12","activity_03","no","low"
"12","activity_01","no","low"
"12","activity_04","no","low"
"12","activity_01","no","low"
"12","activity_01","no","low"
"13","activity_01","no","middle"
"13","activity_01","no","middle"
"13","activity_02","no","middle"
"14","activity_04","yes","low"
"14","activity_03","yes","low"
"14","activity_01","yes","low"
"15","activity_02","no","high"
"15","activity_03","no","high"
"15","activity_01","no","high"
"15","activity_01","no","high"
"15","activity_01","no","high"
"16","activity_03","yes","low"
"16","activity_02","yes","low"
"16","activity_03","yes","low"
"16","noise_1","yes","low"
"16","activity_01","yes","low"
"16","activity_01","yes","low"
"17","activity_04","yes","high"
"17","activity_03","yes","high"
"17","activity_01","yes","high"
"18","activity_02","yes","middle"
"18","activity_01","yes","middle"
"18","activity_01","yes","middle"
"18","activity_03","yes","middle"
"19","activity_02","no","low"
"19","activity_03","no","low"
"19","activity_01","no","low"
"19","activity_01","no","low"
"19","activity_01","no","low"
"20","activity_02","no","high"
"20","activity_02","no","high"
"20","activity_03","no","high"
"20","activity_01","no","high"
"20","activity_01","no","high"
"20","activity_01","no","high"
"21","activity_02","yes","low"
"21","activity_03","yes","low"
"21","activity_01","yes","low"
"21","activity_01","yes","low"
"21","activity_01","yes","low"
"22","activity_01","no","middle"
"23","activity_04","yes","low"
"23","activity_03","yes","low"
"23","activity_01","yes","low"
"24","activity_01","no","high"
"24","activity_03","no","high"
"24","activity_01","no","high"
"24","noise_4","no","high"
"25","activity_02","no","high"
"25","activity_01","no","high"
"25","activity_03","no","high"
"25","activity_01","no","high"
"25","activity_01","no","high"
"25","activity_01","no","high"
"26","activity_02","yes","high"
