"trace_id","activities","owner","employed","age","g"
"0","activity_05","yes","no","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"0","activity_06","yes","no","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"0","activity_07","yes","no","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"0","activity_08","yes","no","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"0","activity_01","yes","no","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"0","activity_03","yes","no","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"1","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_07","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_05","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"2","activity_06","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"2","activity_07","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"2","activity_08","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"2","activity_01","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"2","activity_03","yes","no","80yo+","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"3","activity_02","yes","no","40-59yo","activity_02__+__activity_07__+__activity_06"
"3","activity_07","yes","no","40-59yo","activity_02__+__activity_07__+__activity_06"
"3","activity_06","yes","no","40-59yo","activity_02__+__activity_07__+__activity_06"
"4","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"4","activity_07","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"4","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"6","activity_02","no","no","40-59yo","activity_02__+__activity_07__+__activity_06"
"6","activity_07","no","no","40-59yo","activity_02__+__activity_07__+__activity_06"
"6","activity_06","no","no","40-59yo","activity_02__+__activity_07__+__activity_06"
"7","activity_09","yes","no","40-59yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"7","activity_01","yes","no","40-59yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
