"trace_id","activities","owner","employed","age","g"
"0","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"0","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"0","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_07","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_02","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_07","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_06","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"4","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"4","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"4","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_02","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_07","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"5","activity_06","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"6","activity_02","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"6","activity_07","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"6","activity_06","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"7","activity_01","yes","no","0-19yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"7","activity_02","yes","no","0-19yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"7","activity_09","yes","no","0-19yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"7","activity_05","yes","no","0-19yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"8","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"8","activity_07","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"8","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"9","activity_02","yes","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"9","activity_07","yes","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"9","activity_06","yes","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"10","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"10","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"10","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"11","activity_02","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"11","activity_07","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"11","activity_06","no","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"12","activity_10","yes","no","20-39yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"12","activity_09","yes","no","20-39yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"12","activity_02","yes","no","20-39yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"12","activity_04","yes","no","20-39yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"13","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"13","activity_07","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"13","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"14","activity_05","yes","yes","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"14","activity_06","yes","yes","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"14","activity_07","yes","yes","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"14","activity_08","yes","yes","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"14","activity_01","yes","yes","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"14","activity_03","yes","yes","0-19yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"15","activity_05","yes","yes","60-79yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"15","activity_06","yes","yes","60-79yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"15","activity_07","yes","yes","60-79yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"15","activity_08","yes","yes","60-79yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"15","activity_01","yes","yes","60-79yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"15","activity_03","yes","yes","60-79yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"16","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"16","activity_07","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"16","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"17","activity_02","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"17","activity_07","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"17","activity_06","no","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"18","activity_10","yes","no","60-79yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"18","activity_09","yes","no","60-79yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"18","activity_02","yes","no","60-79yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"18","activity_04","yes","no","60-79yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
