"trace_id","activities","employed","age","income","g"
"0","activity_03","yes","0-19yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"0","activity_01","yes","0-19yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"0","activity_05","yes","0-19yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_03","no","40-59yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_01","no","40-59yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_03","no","40-59yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_05","no","40-59yo","high","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_05","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"2","activity_02","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"2","activity_04","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"2","activity_01","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"3","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"4","activity_02","no","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"4","activity_04","no","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"4","activity_01","no","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"4","activity_05","no","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"4","activity_05","no","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"5","activity_05","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"5","activity_02","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"5","activity_04","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"5","activity_01","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"6","noise_4","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_05","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_01","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_02","yes","0-19yo","low","activity_01__+__activity_02__+__activity_03__+__activity_07"
"7","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
