"trace_id","activities","employed","age","income","g"
"0","activity_04","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"0","noise_4","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"0","activity_01","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"0","activity_04","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"0","activity_02","yes","40-59yo","middle","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"1","activity_03","yes","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_01","yes","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"1","activity_05","yes","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_03","no","20-39yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"2","activity_03","no","20-39yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"3","activity_04","yes","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"3","activity_02","yes","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"3","activity_03","yes","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"3","activity_05","yes","80yo+","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"4","activity_05","yes","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"4","activity_01","yes","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"4","activity_03","yes","0-19yo","low","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_03","yes","20-39yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_01","yes","20-39yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_03","yes","20-39yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"5","activity_05","yes","20-39yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"6","activity_02","yes","20-39yo","high","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_01","yes","20-39yo","high","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_02","yes","20-39yo","high","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_03","yes","20-39yo","high","activity_01__+__activity_02__+__activity_03__+__activity_07"
"6","activity_07","yes","20-39yo","high","activity_01__+__activity_02__+__activity_03__+__activity_07"
"7","activity_04","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"7","activity_01","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"7","activity_02","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"7","activity_03","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"7","activity_04","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"8","activity_05","no","40-59yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_02","no","40-59yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","noise_3","no","40-59yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_04","no","40-59yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"8","activity_01","no","40-59yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"9","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"9","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"10","activity_04","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"10","activity_05","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"10","activity_02","no","60-79yo","high","activity_05__+__activity_02__+__activity_04__+__activity_01"
"11","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"11","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"11","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"11","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"11","activity_05","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"12","activity_04","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"12","activity_02","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"12","activity_03","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"12","activity_04","yes","40-59yo","high","activity_04__+__activity_01__+__activity_02__+__activity_03__+__activity_04"
"13","activity_05","yes","80yo+","middle","activity_05__+__activity_02__+__activity_04__+__activity_01"
"13","activity_02","yes","80yo+","middle","activity_05__+__activity_02__+__activity_04__+__activity_01"
"13","activity_04","yes","80yo+","middle","activity_05__+__activity_02__+__activity_04__+__activity_01"
"13","activity_01","yes","80yo+","middle","activity_05__+__activity_02__+__activity_04__+__activity_01"
"14","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"14","activity_01","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"14","activity_03","no","80yo+","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"15","noise_1","yes","0-19yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
"15","noise_3","yes","0-19yo","middle","activity_03__+__activity_01__+__activity_03__+__activity_05"
