"trace_id","activities","owner","age","car_owner","income"
"0","activity_09","yes","80yo+","no","low"
"0","activity_01","yes","80yo+","no","low"
"0","activity_04","yes","80yo+","no","low"
"0","activity_04","yes","80yo+","no","low"
"1","activity_09","yes","80yo+","no","low"
"1","activity_01","yes","80yo+","no","low"
"1","activity_04","yes","80yo+","no","low"
"1","activity_04","yes","80yo+","no","low"
"2","activity_09","yes","80yo+","no","low"
"2","activity_01","yes","80yo+","no","low"
"2","activity_04","yes","80yo+","no","low"
"2","activity_04","yes","80yo+","no","low"
"3","activity_09","yes","80yo+","no","low"
"3","activity_01","yes","80yo+","no","low"
"3","activity_04","yes","80yo+","no","low"
"3","activity_04","yes","80yo+","no","low"
"4","activity_09","yes","80yo+","no","low"
"4","activity_01","yes","80yo+","no","low"
"4","activity_04","yes","80yo+","no","low"
"4","activity_04","yes","80yo+","no","low"
"5","activity_09","yes","80yo+","no","low"
"5","activity_01","yes","80yo+","no","low"
"5","activity_04","yes","80yo+","no","low"
"5","activity_04","yes","80yo+","no","low"
"6","activity_09","yes","80yo+","no","low"
"6","activity_01","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"7","activity_09","yes","80yo+","no","low"
"7","activity_01","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"8","activity_09","yes","80yo+","no","low"
"8","activity_01","yes","80yo+","no","low"
"8","activity_04","yes","80yo+","no","low"
"8","activity_04","yes","80yo+","no","low"
"9","activity_09","yes","80yo+","no","low"
"9","activity_01","yes","80yo+","no","low"
"9","activity_04","yes","80yo+","no","low"
"9","activity_04","yes","80yo+","no","low"
"10","activity_03","no","20-39yo","yes","high"
"10","activity_02","no","20-39yo","yes","high"
"10","activity_01","no","20-39yo","yes","high"
"10","activity_04","no","20-39yo","yes","high"
"11","activity_09","yes","80yo+","no","low"
"11","activity_01","yes","80yo+","no","low"
"11","activity_04","yes","80yo+","no","low"
"11","activity_04","yes","80yo+","no","low"
"12","activity_04","no","60-79yo","no","middle"
"12","activity_01","no","60-79yo","no","middle"
"12","activity_03","no","60-79yo","no","middle"
"12","activity_08","no","60-79yo","no","middle"
"12","activity_07","no","60-79yo","no","middle"
"12","activity_06","no","60-79yo","no","middle"
"13","activity_09","yes","80yo+","no","low"
"13","activity_01","yes","80yo+","no","low"
"13","activity_04","yes","80yo+","no","low"
"13","activity_04","yes","80yo+","no","low"
"14","activity_04","no","60-79yo","no","middle"
"14","activity_01","no","60-79yo","no","middle"
"14","activity_03","no","60-79yo","no","middle"
"14","activity_08","no","60-79yo","no","middle"
"14","activity_07","no","60-79yo","no","middle"
"14","activity_06","no","60-79yo","no","middle"
"15","activity_09","yes","80yo+","no","low"
"15","activity_01","yes","80yo+","no","low"
"15","activity_04","yes","80yo+","no","low"
"15","activity_04","yes","80yo+","no","low"
"16","activity_03","no","20-39yo","yes","high"
"16","activity_02","no","20-39yo","yes","high"
"16","activity_01","no","20-39yo","yes","high"
"16","activity_04","no","20-39yo","yes","high"
"17","activity_09","yes","80yo+","no","low"
"17","activity_01","yes","80yo+","no","low"
"17","activity_04","yes","80yo+","no","low"
"17","activity_04","yes","80yo+","no","low"
"18","activity_09","yes","80yo+","no","low"
"18","activity_01","yes","80yo+","no","low"
"18","activity_04","yes","80yo+","no","low"
"18","activity_04","yes","80yo+","no","low"
"19","activity_04","no","60-79yo","no","middle"
"19","activity_01","no","60-79yo","no","middle"
"19","activity_03","no","60-79yo","no","middle"
"19","activity_08","no","60-79yo","no","middle"
"19","activity_07","no","60-79yo","no","middle"
"19","activity_06","no","60-79yo","no","middle"
"20","activity_03","no","20-39yo","yes","high"
"20","activity_02","no","20-39yo","yes","high"
"20","activity_01","no","20-39yo","yes","high"
