"trace_id","activities","owner","age","car_owner","income"
"0","activity_09","yes","60-79yo","yes","middle"
"0","activity_01","yes","60-79yo","yes","middle"
"0","activity_04","yes","60-79yo","yes","middle"
"0","activity_04","yes","60-79yo","yes","middle"
"1","activity_09","yes","40-59yo","no","middle"
"1","activity_04","yes","40-59yo","no","middle"
"1","activity_01","yes","40-59yo","no","middle"
"1","noise_1","yes","40-59yo","no","middle"
"1","activity_04","yes","40-59yo","no","middle"
"2","activity_03","no","20-39yo","yes","high"
"2","noise_0","no","20-39yo","yes","high"
"2","activity_02","no","20-39yo","yes","high"
"2","noise_1","no","20-39yo","yes","high"
"2","activity_04","no","20-39yo","yes","high"
"3","activity_09","no","0-19yo","yes","low"
"3","activity_04","no","0-19yo","yes","low"
"3","activity_03","no","0-19yo","yes","low"
"3","activity_01","no","0-19yo","yes","low"
"3","activity_04","no","0-19yo","yes","low"
"4","activity_01","no","40-59yo","yes","high"
"4","activity_09","no","40-59yo","yes","high"
"4","activity_04","no","40-59yo","yes","high"
"5","activity_09","no","0-19yo","no","high"
"5","activity_01","no","0-19yo","no","high"
"5","activity_04","no","0-19yo","no","high"
"5","activity_04","no","0-19yo","no","high"
"6","activity_03","no","20-39yo","yes","high"
"6","activity_02","no","20-39yo","yes","high"
"6","activity_01","no","20-39yo","yes","high"
"6","activity_04","no","20-39yo","yes","high"
"7","activity_09","yes","80yo+","no","low"
"7","activity_01","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"8","activity_09","yes","80yo+","no","low"
"8","activity_01","yes","80yo+","no","low"
"8","activity_04","yes","80yo+","no","low"
"8","activity_04","yes","80yo+","no","low"
"9","activity_01","no","40-59yo","yes","low"
"9","activity_09","no","40-59yo","yes","low"
"9","activity_01","no","40-59yo","yes","low"
"9","activity_04","no","40-59yo","yes","low"
"10","activity_03","no","60-79yo","no","middle"
"10","activity_10","no","60-79yo","no","middle"
"10","activity_06","no","60-79yo","no","middle"
"10","activity_11","no","60-79yo","no","middle"
"11","activity_09","no","0-19yo","no","high"
"11","activity_01","no","0-19yo","no","high"
"11","activity_04","no","0-19yo","no","high"
"11","activity_04","no","0-19yo","no","high"
"12","noise_1","yes","80yo+","no","low"
"12","activity_09","yes","80yo+","no","low"
"12","activity_01","yes","80yo+","no","low"
"12","activity_04","yes","80yo+","no","low"
"12","activity_01","yes","80yo+","no","low"
"12","activity_04","yes","80yo+","no","low"
"12","activity_04","yes","80yo+","no","low"
"13","activity_09","yes","80yo+","no","low"
"13","activity_01","yes","80yo+","no","low"
"13","activity_04","yes","80yo+","no","low"
"13","activity_04","yes","80yo+","no","low"
"14","activity_01","yes","80yo+","yes","middle"
"14","activity_09","yes","80yo+","yes","middle"
"14","activity_04","yes","80yo+","yes","middle"
"15","activity_04","no","60-79yo","no","middle"
