"trace_id","activities","owner","age","car_owner","income"
"0","activity_09","yes","0-19yo","no","low"
"0","activity_01","yes","0-19yo","no","low"
"0","activity_04","yes","0-19yo","no","low"
"0","activity_04","yes","0-19yo","no","low"
"1","activity_09","yes","80yo+","no","low"
"1","activity_04","yes","80yo+","no","low"
"1","activity_01","yes","80yo+","no","low"
"2","activity_09","yes","80yo+","no","low"
"2","activity_01","yes","80yo+","no","low"
"2","activity_04","yes","80yo+","no","low"
"2","activity_04","yes","80yo+","no","low"
"3","activity_09","yes","80yo+","no","low"
"3","activity_01","yes","80yo+","no","low"
"3","activity_04","yes","80yo+","no","low"
"3","activity_04","yes","80yo+","no","low"
"4","activity_09","yes","80yo+","yes","high"
"4","activity_01","yes","80yo+","yes","high"
"4","activity_04","yes","80yo+","yes","high"
"4","activity_04","yes","80yo+","yes","high"
"5","activity_09","yes","80yo+","no","low"
"5","activity_01","yes","80yo+","no","low"
"5","activity_04","yes","80yo+","no","low"
"5","activity_04","yes","80yo+","no","low"
"6","activity_09","yes","80yo+","no","low"
"6","activity_01","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"7","activity_09","yes","80yo+","no","low"
"7","activity_01","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"8","activity_09","yes","80yo+","no","low"
"8","activity_01","yes","80yo+","no","low"
"8","activity_04","yes","80yo+","no","low"
"8","activity_04","yes","80yo+","no","low"
"9","activity_03","no","20-39yo","yes","high"
"9","activity_02","no","20-39yo","yes","high"
"9","activity_01","no","20-39yo","yes","high"
"9","activity_04","no","20-39yo","yes","high"
"10","activity_03","yes","60-79yo","no","high"
"10","activity_02","yes","60-79yo","no","high"
"10","activity_01","yes","60-79yo","no","high"
"10","activity_04","yes","60-79yo","no","high"
"11","activity_09","yes","80yo+","no","low"
"11","activity_01","yes","80yo+","no","low"
"11","activity_04","yes","80yo+","no","low"
"11","activity_04","yes","80yo+","no","low"
"12","activity_04","no","60-79yo","no","middle"
"12","activity_01","no","60-79yo","no","middle"
"12","activity_03","no","60-79yo","no","middle"
"12","activity_08","no","60-79yo","no","middle"
"12","activity_07","no","60-79yo","no","middle"
"12","activity_06","no","60-79yo","no","middle"
"13","activity_09","yes","40-59yo","no","middle"
"13","activity_01","yes","40-59yo","no","middle"
"13","activity_04","yes","40-59yo","no","middle"
"13","activity_04","yes","40-59yo","no","middle"
"14","activity_09","yes","80yo+","no","low"
"14","activity_01","yes","80yo+","no","low"
"14","activity_04","yes","80yo+","no","low"
"14","activity_04","yes","80yo+","no","low"
"15","activity_09","yes","80yo+","no","low"
"15","activity_01","yes","80yo+","no","low"
"15","noise_4","yes","80yo+","no","low"
"15","activity_04","yes","80yo+","no","low"
"16","activity_09","yes","80yo+","no","low"
"16","activity_04","yes","80yo+","no","low"
"16","noise_3","yes","80yo+","no","low"
"16","activity_04","yes","80yo+","no","low"
"17","activity_09","yes","80yo+","no","low"
"17","activity_01","yes","80yo+","no","low"
"17","activity_04","yes","80yo+","no","low"
"17","activity_04","yes","80yo+","no","low"
"18","activity_09","yes","80yo+","no","low"
"18","activity_01","yes","80yo+","no","low"
"18","activity_04","yes","80yo+","no","low"
"18","activity_04","yes","80yo+","no","low"
"19","activity_09","yes","0-19yo","yes","low"
"19","activity_01","yes","0-19yo","yes","low"
"19","activity_04","yes","0-19yo","yes","low"
"19","activity_04","yes","0-19yo","yes","low"
"20","activity_06","yes","80yo+","no","low"
"20","activity_09","yes","80yo+","no","low"
"20","activity_04","yes","80yo+","no","low"
"20","noise_3","yes","80yo+","no","low"
"20","activity_04","yes","80yo+","no","low"
"20","activity_09","yes","80yo+","no","low"
"20","activity_01","yes","80yo+","no","low"
"21","noise_0","yes","80yo+","no","low"
"21","activity_09","yes","80yo+","no","low"
"21","noise_3","yes","80yo+","no","low"
"21","activity_01","yes","80yo+","no","low"
"22","activity_09","yes","80yo+","no","low"
"22","activity_01","yes","80yo+","no","low"
"22","activity_04","yes","80yo+","no","low"
"22","activity_04","yes","80yo+","no","low"
"23","activity_09","no","80yo+","yes","low"
"23","activity_01","no","80yo+","yes","low"
"23","activity_04","no","80yo+","yes","low"
"23","activity_04","no","80yo+","yes","low"
"24","activity_09","yes","80yo+","no","low"
"24","activity_01","yes","80yo+","no","low"
"24","activity_04","yes","80yo+","no","low"
"24","activity_04","yes","80yo+","no","low"
"25","activity_03","yes","40-59yo","yes","high"
"25","activity_10","yes","40-59yo","yes","high"
"25","activity_06","yes","40-59yo","yes","high"
"25","activity_11","yes","40-59yo","yes","high"
"26","activity_09","yes","80yo+","no","low"
"26","activity_01","yes","80yo+","no","low"
"26","activity_04","yes","80yo+","no","low"
"26","activity_04","yes","80yo+","no","low"
"27","activity_01","yes","80yo+","no","low"
"27","activity_06","yes","80yo+","no","low"
"27","activity_04","yes","80yo+","no","low"
"27","activity_09","yes","80yo+","no","low"
"27","activity_04","yes","80yo+","no","low"
"28","activity_03","yes","40-59yo","yes","high"
"28","activity_10","yes","40-59yo","yes","high"
"28","activity_06","yes","40-59yo","yes","high"
"28","activity_11","yes","40-59yo","yes","high"
"29","activity_09","yes","80yo+","no","low"
