"trace_id","activities","owner","age","car_owner","income"
"0","activity_04","yes","80yo+","yes","high"
"0","activity_02","yes","80yo+","yes","high"
"0","activity_04","yes","80yo+","yes","high"
"0","activity_09","yes","80yo+","yes","high"
"1","activity_09","yes","80yo+","no","low"
"1","activity_01","yes","80yo+","no","low"
"1","activity_04","yes","80yo+","no","low"
"1","activity_04","yes","80yo+","no","low"
"2","activity_04","yes","0-19yo","yes","low"
"2","activity_01","yes","0-19yo","yes","low"
"2","activity_04","yes","0-19yo","yes","low"
"3","activity_01","yes","20-39yo","yes","low"
"3","activity_04","yes","20-39yo","yes","low"
"3","activity_04","yes","20-39yo","yes","low"
"4","activity_07","no","20-39yo","no","middle"
"4","activity_09","no","20-39yo","no","middle"
"4","activity_01","no","20-39yo","no","middle"
"4","activity_04","no","20-39yo","no","middle"
"5","activity_04","no","20-39yo","yes","high"
"5","noise_2","no","20-39yo","yes","high"
"5","activity_07","no","20-39yo","yes","high"
"5","activity_02","no","20-39yo","yes","high"
"5","activity_01","no","20-39yo","yes","high"
"5","activity_04","no","20-39yo","yes","high"
"6","activity_09","yes","80yo+","no","low"
"6","activity_01","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"6","activity_04","yes","80yo+","no","low"
"7","activity_09","yes","80yo+","no","low"
"7","activity_01","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"7","activity_04","yes","80yo+","no","low"
"8","activity_09","no","20-39yo","yes","middle"
"8","activity_01","no","20-39yo","yes","middle"
"8","activity_04","no","20-39yo","yes","middle"
"8","activity_04","no","20-39yo","yes","middle"
"9","activity_09","yes","80yo+","no","low"
"9","activity_01","yes","80yo+","no","low"
"9","activity_04","yes","80yo+","no","low"
"9","activity_04","yes","80yo+","no","low"
"10","activity_03","yes","40-59yo","yes","high"
"10","activity_10","yes","40-59yo","yes","high"
"10","activity_06","yes","40-59yo","yes","high"
"10","activity_11","yes","40-59yo","yes","high"
"11","activity_01","yes","80yo+","no","low"
"11","activity_04","yes","80yo+","no","low"
"11","activity_09","yes","80yo+","no","low"
"12","activity_09","yes","40-59yo","no","low"
"12","activity_01","yes","40-59yo","no","low"
"12","activity_04","yes","40-59yo","no","low"
"12","activity_04","yes","40-59yo","no","low"
"13","activity_09","yes","80yo+","no","low"
"13","noise_0","yes","80yo+","no","low"
"13","activity_01","yes","80yo+","no","low"
"13","activity_04","yes","80yo+","no","low"
"14","activity_10","no","40-59yo","no","low"
"14","activity_03","no","40-59yo","no","low"
"15","activity_03","yes","40-59yo","yes","middle"
"15","activity_02","yes","40-59yo","yes","middle"
"15","activity_01","yes","40-59yo","yes","middle"
"15","activity_04","yes","40-59yo","yes","middle"
"16","activity_09","yes","80yo+","no","low"
"16","activity_01","yes","80yo+","no","low"
"16","activity_04","yes","80yo+","no","low"
"16","activity_04","yes","80yo+","no","low"
"17","activity_09","yes","80yo+","no","low"
"17","activity_10","yes","80yo+","no","low"
