"trace_id","activities","owner","employed","car_owner","income"
"0","activity_08","no","yes","yes","middle"
"0","activity_09","no","yes","yes","middle"
"0","activity_03","no","yes","yes","middle"
"1","activity_08","no","yes","yes","middle"
"1","activity_09","no","yes","yes","middle"
"1","activity_03","no","yes","yes","middle"
"2","activity_08","no","yes","yes","middle"
"2","activity_09","no","yes","yes","middle"
"2","activity_03","no","yes","yes","middle"
"3","activity_06","yes","yes","no","high"
"3","activity_07","yes","yes","no","high"
"3","activity_02","yes","yes","no","high"
"3","activity_01","yes","yes","no","high"
"3","activity_02","yes","yes","no","high"
"3","activity_03","yes","yes","no","high"
"4","activity_08","no","yes","yes","middle"
"4","noise_1","no","yes","yes","middle"
"5","activity_08","no","yes","yes","middle"
"5","activity_09","no","yes","yes","middle"
"5","activity_03","no","yes","yes","middle"
"6","activity_02","no","no","yes","low"
"6","activity_01","no","no","yes","low"
"6","activity_02","no","no","yes","low"
"6","activity_08","no","no","yes","low"
"7","activity_08","no","yes","yes","middle"
"7","activity_09","no","yes","yes","middle"
"7","activity_03","no","yes","yes","middle"
"8","activity_08","no","yes","yes","middle"
"8","activity_09","no","yes","yes","middle"
"8","activity_03","no","yes","yes","middle"
"9","activity_08","yes","no","yes","high"
"9","activity_09","yes","no","yes","high"
"9","activity_03","yes","no","yes","high"
