"trace_id","activities","owner","employed","car_owner","g"
"0","activity_10","yes","no","yes","activity_10__+__activity_01__+__activity_02__+__activity_03"
"0","activity_01","yes","no","yes","activity_10__+__activity_01__+__activity_02__+__activity_03"
"0","activity_02","yes","no","yes","activity_10__+__activity_01__+__activity_02__+__activity_03"
"0","activity_03","yes","no","yes","activity_10__+__activity_01__+__activity_02__+__activity_03"
"1","activity_10","yes","yes","yes","activity_10__+__activity_13__+__activity_08__+__activity_02"
"1","activity_13","yes","yes","yes","activity_10__+__activity_13__+__activity_08__+__activity_02"
"1","activity_08","yes","yes","yes","activity_10__+__activity_13__+__activity_08__+__activity_02"
"1","activity_02","yes","yes","yes","activity_10__+__activity_13__+__activity_08__+__activity_02"
"2","activity_12","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"2","activity_07","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"2","activity_06","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"2","activity_12","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"2","activity_05","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"2","activity_02","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"2","activity_13","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"2","activity_14","yes","no","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"3","activity_12","no","no","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"3","activity_07","no","no","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"3","activity_06","no","no","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"3","activity_05","no","no","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"3","activity_13","no","no","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"3","activity_14","no","no","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"4","activity_05","no","yes","yes","activity_05__+__activity_04__+__activity_02__+__activity_05"
"4","activity_04","no","yes","yes","activity_05__+__activity_04__+__activity_02__+__activity_05"
"4","activity_02","no","yes","yes","activity_05__+__activity_04__+__activity_02__+__activity_05"
"4","activity_05","no","yes","yes","activity_05__+__activity_04__+__activity_02__+__activity_05"
"5","activity_12","no","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"5","activity_07","no","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"5","activity_06","no","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"5","activity_05","no","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"5","activity_02","no","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"5","activity_13","no","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"5","activity_14","no","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_10","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_12","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_07","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_06","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_02","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_05","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_13","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"6","activity_14","no","yes","yes","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"7","activity_06","yes","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"7","activity_05","yes","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"7","activity_02","yes","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"7","activity_13","yes","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"7","activity_13","yes","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"7","activity_14","yes","yes","no","activity_12__+__activity_07__+__activity_06__+__activity_05__+__activity_02__+__activity_13__+__activity_14"
"8","activity_02","yes","yes","yes","activity_02__+__activity_12__+__activity_10__+__activity_15"
"8","activity_12","yes","yes","yes","activity_02__+__activity_12__+__activity_10__+__activity_15"
"8","activity_10","yes","yes","yes","activity_02__+__activity_12__+__activity_10__+__activity_15"
"8","activity_15","yes","yes","yes","activity_02__+__activity_12__+__activity_10__+__activity_15"
"9","activity_02","no","yes","no","activity_02__+__activity_10__+__activity_03__+__activity_02"
"9","activity_10","no","yes","no","activity_02__+__activity_10__+__activity_03__+__activity_02"
"9","activity_03","no","yes","no","activity_02__+__activity_10__+__activity_03__+__activity_02"
"9","activity_02","no","yes","no","activity_02__+__activity_10__+__activity_03__+__activity_02"
