"trace_id","activities","owner","income"
"0","activity_02","no","low"
"0","activity_01","no","low"
"0","activity_01","no","low"
"0","activity_01","no","low"
"1","activity_04","no","low"
"1","activity_03","no","low"
"1","activity_01","no","low"
"2","activity_02","yes","low"
"2","activity_03","yes","low"
"2","activity_01","yes","low"
"2","activity_01","yes","low"
"2","noise_2","yes","low"
"2","noise_0","yes","low"
"3","activity_02","yes","middle"
"3","activity_01","yes","middle"
"3","activity_01","yes","middle"
"4","activity_02","no","high"
"4","activity_03","no","high"
"4","activity_01","no","high"
"4","activity_01","no","high"
"4","activity_01","no","high"
"5","activity_01","yes","middle"
"5","activity_01","yes","middle"
"5","activity_02","yes","middle"
"6","activity_01","yes","high"
"6","activity_02","yes","high"
"6","noise_4","yes","high"
"6","activity_03","yes","high"
"6","activity_01","yes","high"
"7","noise_4","no","low"
"7","activity_02","no","low"
"7","activity_03","no","low"
"7","activity_01","no","low"
"7","activity_01","no","low"
"7","noise_0","no","low"
"7","activity_01","no","low"
"8","activity_02","no","low"
"8","activity_03","no","low"
"8","activity_01","no","low"
"8","activity_01","no","low"
"8","activity_01","no","low"
"9","activity_03","yes","high"
"9","activity_01","yes","high"
"9","activity_02","yes","high"
"9","activity_01","yes","high"
