"trace_id","activities","owner","employed","car_owner","income"
"0","activity_08","no","yes","yes","middle"
"0","activity_09","no","yes","yes","middle"
"0","activity_03","no","yes","yes","middle"
"1","activity_08","no","yes","yes","middle"
"1","activity_09","no","yes","yes","middle"
"1","activity_03","no","yes","yes","middle"
"2","activity_06","no","yes","yes","middle"
"2","activity_08","no","yes","yes","middle"
"2","activity_09","no","yes","yes","middle"
"3","activity_08","no","no","yes","low"
"3","activity_09","no","no","yes","low"
"3","activity_03","no","no","yes","low"
"4","activity_08","no","yes","yes","middle"
"4","activity_09","no","yes","yes","middle"
"4","activity_03","no","yes","yes","middle"
"5","activity_08","no","yes","yes","middle"
"5","activity_09","no","yes","yes","middle"
"5","activity_03","no","yes","yes","middle"
"6","activity_08","no","yes","yes","middle"
"6","activity_09","no","yes","yes","middle"
"6","activity_03","no","yes","yes","middle"
"7","activity_08","no","yes","yes","middle"
"7","activity_09","no","yes","yes","middle"
"7","activity_03","no","yes","yes","middle"
"8","activity_06","yes","yes","no","high"
"8","activity_07","yes","yes","no","high"
"8","activity_02","yes","yes","no","high"
"8","activity_01","yes","yes","no","high"
"8","activity_02","yes","yes","no","high"
"8","activity_03","yes","yes","no","high"
"9","activity_08","no","yes","yes","middle"
"9","activity_09","no","yes","yes","middle"
"9","activity_03","no","yes","yes","middle"
"10","activity_08","no","yes","yes","middle"
"10","activity_09","no","yes","yes","middle"
"10","activity_03","no","yes","yes","middle"
"11","activity_08","no","yes","yes","middle"
"11","activity_09","no","yes","yes","middle"
"11","activity_03","no","yes","yes","middle"
"12","activity_09","no","yes","yes","middle"
"12","activity_08","no","yes","yes","middle"
"13","activity_07","no","yes","yes","middle"
"13","noise_4","no","yes","yes","middle"
"13","activity_03","no","yes","yes","middle"
"14","activity_08","yes","no","yes","middle"
"14","activity_09","yes","no","yes","middle"
"14","activity_03","yes","no","yes","middle"
"15","activity_08","no","yes","yes","middle"
"15","activity_09","no","yes","yes","middle"
"15","activity_03","no","yes","yes","middle"
"16","activity_08","no","yes","yes","middle"
"16","activity_09","no","yes","yes","middle"
"16","activity_03","no","yes","yes","middle"
"17","activity_08","no","yes","yes","middle"
"17","activity_09","no","yes","yes","middle"
"17","activity_03","no","yes","yes","middle"
"18","activity_08","no","yes","yes","middle"
"18","activity_09","no","yes","yes","middle"
"18","activity_03","no","yes","yes","middle"
"19","activity_07","yes","yes","no","middle"
"19","activity_02","yes","yes","no","middle"
"19","noise_1","yes","yes","no","middle"
"19","activity_06","yes","yes","no","middle"
"19","activity_01","yes","yes","no","middle"
"19","activity_02","yes","yes","no","middle"
"20","activity_08","no","yes","yes","middle"
"20","activity_09","no","yes","yes","middle"
"20","activity_03","no","yes","yes","middle"
"21","activity_08","no","yes","yes","middle"
"21","activity_09","no","yes","yes","middle"
"21","activity_03","no","yes","yes","middle"
"22","activity_08","no","yes","yes","middle"
"22","activity_09","no","yes","yes","middle"
"22","activity_08","no","yes","yes","middle"
"22","activity_03","no","yes","yes","middle"
"23","activity_08","no","yes","yes","middle"
"23","activity_09","no","yes","yes","middle"
"23","activity_03","no","yes","yes","middle"
"24","activity_08","no","yes","yes","middle"
"24","activity_09","no","yes","yes","middle"
"24","activity_03","no","yes","yes","middle"
"25","activity_08","no","yes","yes","middle"
"25","activity_09","no","yes","yes","middle"
"25","activity_03","no","yes","yes","middle"
"26","activity_08","no","yes","yes","middle"
"26","activity_09","no","yes","yes","middle"
"26","activity_03","no","yes","yes","middle"
"27","activity_08","no","yes","yes","middle"
"27","activity_09","no","yes","yes","middle"
"27","activity_03","no","yes","yes","middle"
"28","activity_08","no","yes","yes","middle"
"28","activity_09","no","yes","yes","middle"
"28","activity_03","no","yes","yes","middle"
"29","activity_08","no","yes","yes","middle"
"29","activity_09","no","yes","yes","middle"
"29","activity_03","no","yes","yes","middle"
"30","activity_08","no","yes","yes","middle"
"30","activity_09","no","yes","yes","middle"
"30","activity_03","no","yes","yes","middle"
"31","activity_06","no","yes","no","high"
"31","activity_07","no","yes","no","high"
"31","activity_02","no","yes","no","high"
"31","activity_01","no","yes","no","high"
"31","activity_02","no","yes","no","high"
"31","activity_03","no","yes","no","high"
"32","activity_06","yes","yes","no","high"
